id,gender,race,rank,age,career_length,complaint_percentile,civilian_allegation_percentile,honorable_mention_percentile,internal_allegation_percentile,allegation_count,sustained_count,civilian_compliment_count,discipline_count,honorable_mention_count,major_award_count,trr_count,unsustained_count,number_of_awards,salary
29089,M,White,Police Officer as Detective,57,34,80.2453,41.5139,28.0493,0.0000,27,1,3,1,1,0,0,20,13,103932
13093,M,Hispanic,Sergeant of Police,50,22,92.9311,91.4192,95.5461,93.0935,29,3,2,2,104,1,16,12,138,104628
31196,M,Black,Police Officer,56,25,96.3738,92.8393,79.5258,79.9133,46,2,5,2,33,0,11,22,43,93354
2520,M,Black,Police Officer as Detective,72,44,74.1974,32.6540,70.0529,81.3517,19,2,1,2,5,0,0,12,6,87354
9038,M,White,Police Officer,47,13,96.3433,96.7311,92.9424,0.0000,20,0,6,0,41,1,26,2,62,84054
576,M,Black,Police Officer as Detective,53,27,91.7581,88.5838,58.9546,61.1521,34,1,13,1,8,0,0,19,29,100980
6373,M,Black,Police Officer,64,27,91.3568,90.4873,60.6398,93.0935,34,5,1,5,9,0,0,16,15,93354
30388,M,Black,Police Officer,57,29,97.2320,89.5946,73.0403,93.2919,53,4,0,3,13,0,7,27,21,83706
10792,M,Black,Police Officer,73,48,73.7062,75.1095,49.1173,0.0000,20,1,1,1,4,0,0,11,11,86532
26100,M,White,Police Officer,51,23,92.0370,89.5804,56.8749,79.9133,30,2,1,2,6,0,1,10,13,89130
20860,M,White,Sergeant of Police,63,26,79.3359,61.9992,81.6476,61.1521,20,0,2,0,40,1,6,12,70,107988
1595,M,Black,Police Officer,50,26,91.4999,55.8185,0.0000,90.7356,19,2,0,2,1,0,0,13,1,58572
10399,M,Black,Police Officer,49,21,96.9432,95.7794,87.1430,61.1521,36,3,2,3,46,0,7,15,62,90024
23600,M,Black,Police Officer,53,21,89.4922,90.4873,90.9467,61.1521,23,0,4,0,65,0,4,8,92,90024
12961,M,Black,Police Officer,53,29,97.7838,92.8393,59.2134,95.6348,61,9,3,9,9,0,3,36,19,103932
27161,M,White,Sergeant of Police,54,25,93.2291,81.8766,48.6367,97.0251,35,0,2,0,4,2,0,20,27,107988
8457,M,White,Police Officer / Explosives Detective Canine Handler,49,21,94.7767,94.6432,86.5220,79.9133,30,1,2,0,44,0,9,5,63,94524
19297,M,White,Police Officer,52,25,86.2099,87.5224,73.6359,0.0000,25,1,0,1,21,0,21,15,27,93354
31211,M,Black,Police Officer,60,33,95.4882,87.0753,61.3665,0.0000,54,0,13,0,9,0,3,40,36,92316
30263,M,Black,Police Officer,71,27,83.1240,53.6973,54.7793,0.0000,22,0,2,0,2,0,0,17,9,80724
366,M,Black,Police Officer as Detective,53,29,76.0307,65.6966,29.6471,0.0000,21,0,3,0,1,1,0,17,26,103932
4078,M,Black,Police Officer,45,15,97.1075,97.3839,94.7860,0.0000,25,0,1,0,62,0,36,5,78,87006
19324,M,White,Police Officer,48,16,93.2941,93.3426,99.3272,76.0763,19,0,12,0,137,0,11,4,182,87006
9491,F,White,Police Officer,61,32,72.6913,30.4892,68.4835,78.9697,19,3,2,3,4,0,1,11,10,75816
19597,M,Hispanic,Sergeant of Police,64,33,77.3390,46.7159,0.0000,0.0000,24,0,1,0,0,0,0,20,13,102978
