@@Operation/Personnel Violations@@ It is alleged that the accused is in violation of Rule 6 in that she failed to provide proof that she satisfied her debt to the City of Chicago as required by Human Resources.	Violation Noted
@@Operation/Personnel Violations@@ The reporting party alleges that the accused placed his hand inside her blouse. The reporting party alleges that she inquired as to what the accused was doing and the accused stated, “I wanted to feel the material of her blouse."	No Action Taken
@@Operation/Personnel Violations@@ Itis alleged by Police Agent MARTIN, Star no. 3738, Unit 121, thatthe accused Police Officer Darryl EDWARDS, Star no. 19970 received a written order - Notice of Indebtedness form, referencing EO1-07 on 21 May 2013 and failed to come into compliance within 30 days of being Notified of his indebtedness to the City of Chicago.	Short Term Suspension
@@Domestic@@ On 10 May 2008, a complaint was registered with the Independent Police Review Authority (IPRA) regarding an incident that occurred in the 11th District, on May 10, 2008, in which an off-duty Chicago Police Department (CPD) officer allegedly stuck her adult daughter with a belt. It was also alleged that the officer failed to cooperate with the police investigation regarding this incident and made a false report to IPRA. Because the complainant did not give a sworn affidavit regarding the incident with the belt, IPRA recommended that this allegation be classified as NO AFFIDAVIT. However, based on witness statements from other CPD officers and personnel, IPRA recommended to SUSTAIN the allegation that the accused officer failed to cooperate with a police investigation and to SUSTAIN the allegation that she gave a false statement to IPRA regarding the incident. IPRA recommended a penalty of thirty (30) days suspension.	Short Term Suspension
@@Use Of Force@@ In an incident involving Officers A, B, and C, it was alleged that Officer A, B, and C entered and searched Subject 1s home without permission, damaged property inside Subject 1s home, directed profanity ant Subject 1, and punched and kicked subject 1 about the body.	Short Term Suspension
@@Domestic@@ On April 27, 2014, Officer A showed up at Sergeant A?s house in the middle of the night after learning that his ex?wife, Civilian l, was there. Sergeant A spoke with Officer A and told him to leave. Officer A complied and proceeded to Civilian 1?s house, their former marital home, and retrieved their son and the dog without her permission. Because of this incident, Civilian 1 obtained an Emergency Order of Protection on May 1, 2014. Officer A was served with the Order on May 7, 2014. Nevertheless, on the night of May 16, 2014, into the early hours of May 17, 2014, Officer A drove past Sergeant A?s house multiple times while Civilian was present. Civilian 1 called the police and, while they were present, Officer A drove past Sergeant A?s residence two more times. Officer A was subsequently arrested for Violation of an Order of Protection.	Long Term Suspension
@@Illegal Search@@ The complainant alleges on 11 February 2012 at Ave, two officers forced him to disrobe in front of two females. The complainant alleges on 11 February 2012 at Ave, two officers forced him to disrobe until he was fully disrobed and performed an intrusional body cavity search. The complainant alleges on 11 February 2012 I Ave, two officers forced him to disrobe in front of two females. The complainant alleges on 11 February 2012 at Ave, two officers forced him to disrobe until he was fully disrobed and performed an intrusional body cavity search.	No Action Taken
@@Operation/Personnel Violations@@ The complainant alleges that the responding officers failed to provide a police report against after she vandalized the residence and vehicle of the complainant's girlfriend. According to the complainant, has been stalking him for aimost one year and stabbed him about three months ago. The complainant has filed nine police reports against and the police have not arrested her.	No Action Taken
@@Conduct Unbecoming (Off-Duty)@@ in the	Violation Noted
@@Use Of Force@@ The complainant, Subject 1 alleged that on April 12, 2016, Officer A pushed him into lockers, spat on him, and pointed a taser in his face. On April 13, 2016, Subject 1 notified Principal 1, the Principal of High School, of the encounter with Officer A. Additionally, Subject 1 reported the incident to CPD Sergeant A. Sergeant A completed an Initiation Report and notified IPRA. During this investigation, Chicago Public Schools (CPS) provided a copy of their Investigative Report. Because Subject 1 never responded to requests to provide a statement, IPRA sought and obtained an Affidavit Override from the Chicago Police Department.	Short Term Suspension
@@Use Of Force@@ In an incident involving two on-duty CPD Officers (Officer A and Officer B) and the Complainant, it was alleged that the Officers kicked the Complainant, punched the Complainant, failed to properly search the Complainant because he was in possession of a weapon while in custody and being transported, and failed to properly restrain the Complainant with a seatbelt while inside the police vehicle.	Short Term Suspension
@@Operation/Personnel Violations@@ The complainant states that she called several numbers including 911, 311 and District 10 about a drunk driver who damaged several cars including her vehicle and she alleges that the accused officers failed to respond	No Action Taken
