district_name,subject_race,total_events,subject_injured,percent_subject_injured
,ASIAN/PACIFIC ISLANDER,34,15,44
,BLACK,1412,366,25
,HISPANIC,172,64,37
,NATIVE AMERICAN/ALASKAN NATIVE,5,0,0
,WHITE,348,125,35
9th,ASIAN/PACIFIC ISLANDER,17,7,41
9th,BLACK,1792,474,26
9th,HISPANIC,948,339,35
9th,WHITE,325,124,38
8th,ASIAN/PACIFIC ISLANDER,11,2,18
8th,BLACK,2082,409,19
8th,HISPANIC,946,304,32
8th,NATIVE AMERICAN/ALASKAN NATIVE,3,0,0
8th,WHITE,453,144,31
7th,ASIAN/PACIFIC ISLANDER,9,5,55
7th,BLACK,4394,1145,26
7th,HISPANIC,28,16,57
7th,WHITE,17,5,29
6th,ASIAN/PACIFIC ISLANDER,15,1,6
6th,BLACK,4402,1140,25
6th,HISPANIC,11,2,18
6th,WHITE,22,10,45
5th,BLACK,3014,721,23
5th,HISPANIC,34,18,52
5th,WHITE,24,7,29
4th,ASIAN/PACIFIC ISLANDER,15,0,0
4th,BLACK,2958,766,25
4th,HISPANIC,369,127,34
4th,NATIVE AMERICAN/ALASKAN NATIVE,3,0,0
4th,WHITE,85,38,44
3rd,ASIAN/PACIFIC ISLANDER,6,0,0
3rd,BLACK,3084,794,25
3rd,HISPANIC,17,7,41
3rd,WHITE,18,5,27
31th,ASIAN/PACIFIC ISLANDER,3,2,66
31th,BLACK,163,41,25
31th,HISPANIC,32,12,37
31th,NATIVE AMERICAN/ALASKAN NATIVE,1,0,0
31th,WHITE,45,12,26
2nd,ASIAN/PACIFIC ISLANDER,7,1,14
2nd,BLACK,1518,438,28
2nd,HISPANIC,12,0,0
2nd,WHITE,8,1,12
25th,ASIAN/PACIFIC ISLANDER,7,1,14
25th,BLACK,1667,346,20
25th,HISPANIC,1542,477,30
25th,NATIVE AMERICAN/ALASKAN NATIVE,4,0,0
25th,WHITE,367,124,33
24th,ASIAN/PACIFIC ISLANDER,48,14,29
24th,BLACK,1370,362,26
24th,HISPANIC,294,112,38
24th,NATIVE AMERICAN/ALASKAN NATIVE,5,0,0
24th,WHITE,304,95,31
22nd,BLACK,1432,307,21
22nd,HISPANIC,27,14,51
22nd,WHITE,128,43,33
20th,ASIAN/PACIFIC ISLANDER,44,13,29
20th,BLACK,552,102,18
20th,HISPANIC,209,60,28
20th,NATIVE AMERICAN/ALASKAN NATIVE,2,1,50
20th,WHITE,267,74,27
1st,ASIAN/PACIFIC ISLANDER,14,5,35
1st,BLACK,1356,312,23
1st,HISPANIC,136,35,25
1st,NATIVE AMERICAN/ALASKAN NATIVE,3,0,0
1st,WHITE,404,101,25
19th,ASIAN/PACIFIC ISLANDER,27,9,33
19th,BLACK,677,134,19
19th,HISPANIC,335,115,34
19th,NATIVE AMERICAN/ALASKAN NATIVE,12,4,33
19th,WHITE,643,190,29
18th,ASIAN/PACIFIC ISLANDER,43,15,34
18th,BLACK,1818,361,19
18th,HISPANIC,359,127,35
18th,NATIVE AMERICAN/ALASKAN NATIVE,5,0,0
18th,WHITE,886,247,27
17th,ASIAN/PACIFIC ISLANDER,41,8,19
17th,BLACK,291,55,18
17th,HISPANIC,606,171,28
17th,NATIVE AMERICAN/ALASKAN NATIVE,4,1,25
17th,WHITE,361,133,36
16th,ASIAN/PACIFIC ISLANDER,21,7,33
16th,BLACK,186,42,22
16th,HISPANIC,424,135,31
16th,NATIVE AMERICAN/ALASKAN NATIVE,2,0,0
16th,WHITE,773,255,32
15th,ASIAN/PACIFIC ISLANDER,11,7,63
15th,BLACK,4113,1030,25
15th,HISPANIC,62,22,35
15th,WHITE,76,23,30
14th,ASIAN/PACIFIC ISLANDER,11,5,45
14th,BLACK,673,175,26
14th,HISPANIC,892,356,39
14th,NATIVE AMERICAN/ALASKAN NATIVE,2,2,100
14th,WHITE,381,149,39
12th,ASIAN/PACIFIC ISLANDER,16,2,12
12th,BLACK,1545,358,23
12th,HISPANIC,676,237,35
12th,NATIVE AMERICAN/ALASKAN NATIVE,3,1,33
12th,WHITE,374,142,37
11th,ASIAN/PACIFIC ISLANDER,22,3,13
11th,BLACK,6936,1766,25
11th,HISPANIC,211,61,28
11th,WHITE,141,36,25
10th,ASIAN/PACIFIC ISLANDER,9,2,22
10th,BLACK,2312,573,24
10th,HISPANIC,1027,339,33
10th,WHITE,90,33,36
