gender,race,allegation_count,sustained_count,honorable_mention_count,unsustained_count,discipline_count,civilian_compliment_count,trr_count,major_award_count,current_salary
M,White,175,6,1,112,2,0,1,0,73116
M,Black,137,12,2,78,12,1,1,0,75816
M,White,136,4,83,87,3,0,9,0,86130
M,Black,132,12,48,74,12,43,21,5,125190
M,White,127,0,29,55,0,8,24,0,93354
M,White,123,5,0,87,5,0,0,0,64926
M,White,121,9,65,65,9,1,37,0,111474
M,White,117,4,13,76,3,2,14,0,93354
M,Black,110,2,97,58,2,6,10,0,107988
M,Black,109,10,3,75,10,2,1,0,76476
M,Black,107,11,1,73,11,0,0,0,63396
M,White,106,1,55,40,1,4,3,0,92430
F,Black,106,1,105,51,1,2,2,0,93354
M,White,102,6,44,49,6,6,11,1,97440
M,White,102,3,87,53,3,7,15,0,107988
M,Black,102,4,0,79,4,0,1,0,83604
M,White,100,3,119,52,3,2,17,1,93354
M,Black,98,1,7,66,1,9,0,0,111474
M,White,97,2,98,53,3,1,30,0,103932
M,Hispanic,96,6,36,43,4,6,2,0,96060
M,Black,95,7,9,63,6,3,0,1,63396
M,Black,95,2,5,56,2,6,0,0,145476
M,Hispanic,94,3,53,61,2,6,4,3,162684
M,White,93,4,14,62,4,12,10,0,92316
M,Black,93,5,15,40,4,5,13,0,92316
M,Hispanic,93,2,31,47,2,7,6,0,111474
M,White,92,4,2,55,4,1,0,0,76476
M,White,92,1,34,55,1,2,8,0,93354
M,White,91,0,240,49,0,2,26,1,107988
M,Black,91,3,11,67,2,11,6,0,95106
M,White,91,2,62,39,2,2,18,0,90024
M,Black,90,6,37,35,5,9,36,0,93354
M,White,90,2,67,40,2,9,25,2,107988
M,White,90,2,57,42,2,2,33,0,90024
M,Black,90,8,19,56,8,0,8,0,98016
M,Black,89,3,6,52,2,3,6,0,111474
M,White,89,5,51,34,5,6,17,0,90024
M,Black,89,8,9,44,7,1,8,0,105864
M,White,88,4,0,49,4,2,1,0,99978
M,Asian/Pacific,87,1,269,50,1,2,28,4,93354
M,Black,87,8,1,52,6,0,2,0,69270
M,White,85,3,35,67,3,5,4,3,86130
M,White,85,2,24,47,2,11,17,0,96060
M,White,85,7,57,45,7,5,26,1,111474
M,Black,84,9,48,40,8,5,16,0,107988
M,Hispanic,84,2,45,42,2,8,5,1,96060
M,Hispanic,83,13,51,47,11,4,19,1,96060
M,Black,82,8,16,35,6,4,4,0,102978
M,Hispanic,80,5,21,28,5,0,4,0,66924
M,Black,80,1,104,26,1,4,3,1,107988
M,Hispanic,80,2,2,59,1,0,1,0,86130
M,White,80,3,4,53,3,5,1,0,101958
