race,rank,allegation_count,civilian_compliment_count,current_badge,current_salary,honorable_mention_count,unsustained_count
White,Police Officer,0,0,8245,68616,2,0
White,Police Officer,0,0,13225,48078,0,0
Hispanic,Police Officer,2,2,12879,87006,15,1
Hispanic,Police Officer,5,1,10490,87006,38,1
White,Police Officer,11,5,19215,93354,38,3
Hispanic,Police Officer,14,3,14154,75816,3,3
White,Police Officer as Detective,27,3,20292,103932,1,20
Hispanic,Sergeant of Police,29,2,1884,104628,104,12
White,Police Officer,1,6,7093,84054,23,1
Unknown,Police Officer,0,0,19041,48078,2,0
Black,Police Officer,4,6,8320,84054,23,0
Black,Police Officer,10,7,12957,93354,12,4
Black,Police Officer,46,5,18851,93354,33,22
White,Police Officer,20,6,5904,84054,41,2
Asian/Pacific,Police Officer,11,4,9365,90024,13,3
Hispanic,Police Officer,0,1,9457,68616,1,0
Hispanic,Police Officer,7,7,4262,87006,44,0
Hispanic,Police Officer,2,1,8039,80016,6,0
Black,Police Officer as Detective,34,13,20841,100980,8,19
Hispanic,"",0,0,10890,48078,0,0
White,Police Officer,7,2,6698,84054,52,1
Black,Police Officer,34,1,18404,93354,9,16
Black,Police Officer,5,2,19030,78012,8,1
Hispanic,"",5,5,20123,103932,3,2
Hispanic,Police Officer,7,7,9788,90024,35,3
Hispanic,Police Officer,2,0,13293,84054,15,0
Black,Police Officer,53,0,6846,83706,13,27
White,Sergeant of Police,4,4,903,111474,7,3
Hispanic,Lieutenant of Police,9,2,194,121464,8,2
Hispanic,Sergeant of Police,6,3,1402,101442,39,0
Hispanic,Police Officer,9,1,17685,90024,50,6
White,Police Officer,13,9,13754,93354,12,7
Black,Police Officer,4,1,7341,92430,6,1
White,Police Officer,6,0,9233,90024,14,1
Hispanic,Police Officer,0,0,16685,76266,6,0
White,Lieutenant of Police,16,1,225,98640,9,4
Black,Police Officer,16,2,11306,86520,1,6
Black,Police Officer,4,5,12704,87006,28,0
White,Police Officer,30,1,2997,89130,6,10
Hispanic,Police Officer,4,1,4490,95106,4,3
Black,Police Officer as Detective,16,4,20958,97440,11,8
White,Police Officer,3,0,4091,84054,9,0
White,Sergeant of Police,20,2,2384,107988,40,12
Black,Police Officer,36,2,5977,90024,46,15
Hispanic,Police Officer,14,5,3805,87006,146,4
White,Police Officer,12,1,11394,96060,3,4
White,Police Officer,18,3,17936,85278,11,13
Black,Police Officer,23,4,8732,90024,65,8
White,Police Officer,1,0,13428,80016,12,0
White,Police Officer,0,0,11116,80016,11,0
Black,Police Officer,61,3,20418,103932,9,36
White,Police Officer / Explosives Detective Canine Handler,30,2,6284,94524,44,5
White,Sergeant of Police,35,2,981,107988,4,20
White,Police Officer as Detective,15,3,20810,100980,1,7
White,"",0,0,8036,48078,0,0
Hispanic,"",0,0,7950,48078,0,0
Hispanic,Police Officer,4,2,15610,84054,39,1
White,Police Officer as Detective,6,5,20980,97440,31,2
White,Police Officer,25,0,18966,93354,21,15
Black,Police Officer,54,13,7098,92316,9,40
White,Police Officer,0,0,15441,48078,0,0
White,Police Officer,17,1,4120,96060,2,11
Hispanic,Police Officer,0,0,18491,72510,2,0
Black,Police Officer as Detective,21,3,20209,103932,1,17
Black,Police Officer,11,5,13348,78012,27,5
White,Police Officer,8,2,12506,89130,9,3
Black,Police Officer,4,1,3523,93354,1,0
Black,Police Officer,25,1,7429,87006,62,5
Black,Police Officer,1,0,3229,84054,9,0
Hispanic,Sergeant of Police,13,2,992,110370,16,7
Hispanic,Police Officer,0,2,11392,68616,1,0
Black,Police Officer,6,7,19364,91338,32,1
White,Police Officer,19,12,17801,87006,137,4
White,Police Officer,19,2,4064,75816,4,11
Asian/Pacific,Police Officer,14,4,12801,90024,102,5
Black,Police Officer,5,1,3616,90024,4,2
White,Police Officer,9,4,13250,92316,9,6
Hispanic,Sergeant of Police,3,1,951,107988,2,1
Black,Police Officer,7,2,15129,87006,8,1
Hispanic,Police Officer as Detective,12,2,20128,100980,31,6
Hispanic,Sergeant of Police,24,1,1955,102978,0,20
Black,Police Officer,2,5,12701,90024,3,0
Black,Police Officer,8,1,10944,87006,18,4
White,Police Officer,9,2,2451,90024,70,2
Black,Police Officer,7,2,5203,90024,10,0
White,Police Officer as Detective,11,2,21798,103932,1,7
White,Police Officer,11,2,19695,93354,2,0
White,Police Officer,40,1,3636,92430,38,20
White,Police Officer,14,6,7010,93354,18,6
White,Police Officer,9,3,12351,84054,51,1
Black,Police Officer,0,1,16639,68616,2,0
Black,Police Officer,6,6,15058,87006,8,2
White,Lieutenant of Police,42,4,510,121464,124,18
Black,Police Officer,2,18,18932,93354,12,1
White,Police Officer,22,4,18308,90024,138,10
White,Police Officer as Detective,2,10,20110,100980,2,1
White,Police Officer,0,0,16936,48078,0,0
White,Sergeant of Police,4,1,1628,104628,11,0
White,Police Officer,67,5,9860,96060,12,38
White,Police Officer,1,0,19240,80016,12,0
White,Sergeant of Police,5,3,1553,96072,6,1
White,Police Officer,0,0,18991,68616,2,0
White,Police Officer,30,4,9302,93354,13,10
White,Police Officer,11,1,3739,95106,1,1
White,Police Officer,0,0,7061,80016,8,0
White,Police Officer,19,6,8431,92430,3,11
White,Police Officer,6,1,17208,80016,20,1
Hispanic,Police Officer,8,3,17029,86130,2,1
Black,Police Officer,21,0,14122,78012,16,10
Black,Lieutenant of Police,4,1,541,104742,1,1
White,Police Officer,11,1,13234,87006,35,3
Black,Police Officer,49,0,6301,78006,11,34
Black,Sergeant of Police,29,2,1154,111474,65,15
Hispanic,Police Officer,0,0,13102,48078,0,0
Black,Police Officer,3,1,3005,93354,50,0
Hispanic,Police Officer,1,0,14998,76266,2,0
White,Police Officer Assigned Evidence Technician,4,2,3811,98052,40,3
Hispanic,Police Officer as Detective,2,0,21686,86748,21,0
White,Sergeant of Police,16,9,1818,107988,10,6
White,"",0,0,7601,48078,0,0
White,Police Officer as Detective,39,4,20706,103932,69,31
Hispanic,Police Officer,11,0,6529,80016,15,1
Black,Police Officer,3,1,10312,84054,20,2
Hispanic,Police Officer,0,0,10101,68616,1,0
White,Police Officer,8,4,13460,90024,25,2
Black,Police Officer,32,6,19978,80724,75,13
White,Police Officer,3,15,13718,90024,32,1
White,Police Officer,6,3,16673,87006,12,1
White,Police Officer,10,11,19444,93354,14,3
White,Police Officer,11,12,7537,90024,72,5
Black,Police Officer,15,4,17688,90024,6,2
White,Police Officer,0,1,14521,84054,12,0
Black,Police Officer,23,6,13375,90024,8,15
White,Police Officer,0,0,14353,80016,16,0
Hispanic,Police Officer,19,1,7499,93354,1,12
White,Police Officer,5,1,10076,87006,56,0
White,Police Officer as Detective,22,4,20742,100980,9,12
Native American/Alaskan Native,Police Officer,6,1,17626,84450,29,2
Hispanic,Police Officer / Explosives Detective Canine Handler,31,2,19620,100980,4,19
Hispanic,Police Officer,0,0,16675,48078,1,0
Black,Police Officer,18,0,12837,85278,0,8
White,Police Officer as Detective,22,3,21509,97440,20,8
White,Police Officer,2,1,10537,93354,3,1
White,Police Officer,2,1,2980,84054,8,0
White,Sergeant of Police,6,6,1764,101442,118,1
White,Sergeant of Police,20,5,2564,111474,6,12
White,Sergeant of Police,7,4,2677,111474,5,3
Hispanic,Police Officer / Field Training Officer,1,1,11934,88296,10,0
Asian/Pacific,Police Officer,6,3,19261,93354,15,1
Black,Police Officer,5,4,4130,90024,13,0
Hispanic,Police Officer as Detective,20,1,20137,100980,11,11
Black,Police Officer,15,0,12613,79152,3,8
White,Sergeant of Police,5,11,2587,107988,10,0
Unknown,Police Officer,0,0,13563,48078,0,0
White,Police Officer,7,6,2861,90024,69,4
White,Police Officer,0,0,9259,68616,0,0
White,Police Officer,0,0,14924,80016,7,0
Black,Police Officer,0,0,11995,84054,3,0
Hispanic,Police Officer,5,3,14928,84054,34,1
Black,Police Officer,9,1,19687,90024,10,3
White,Police Officer,6,4,12570,90024,68,0
Hispanic,Police Officer as Detective,15,2,21299,100980,6,12
White,Police Officer / Field Training Officer,4,3,9880,88296,32,0
Hispanic,Police Officer,14,1,6812,93354,0,8
White,Police Officer,14,1,6271,83706,5,4
Hispanic,Police Officer,80,0,17289,66924,21,28
White,Lieutenant of Police,6,0,431,99216,0,5
Black,Police Officer,15,1,18250,87006,5,2
White,"",4,3,7225,91338,31,3
White,Police Officer,9,6,13851,90024,27,3
White,Police Officer,8,5,13657,90024,47,3
