gender,race,appointed_date,rank,birth_year,resignation_date,complaint_percentile,civilian_allegation_percentile,honorable_mention_percentile,internal_allegation_percentile,trr_percentile,allegation_count,sustained_count,civilian_compliment_count,current_badge,current_salary,discipline_count,honorable_mention_count,last_unit_id,major_award_count,trr_count,unsustained_count,has_unique_name
M,White,9/21/1953,Lieutenant of Police,1929,7/21/1988,,,0,,,0,0,4,,,0,9,10,0,0,0,FALSE
M,White,7/27/2018,Police Officer,1988,,,,,,,,,,12044,,,,,,,,TRUE
M,White,8/27/2018,Police Officer,1992,,,,,,,,,,12393,,,,,,,,TRUE
M,White,5/16/2019,Police Officer,1994,,,,,,,,,,18906,,,,,,,,TRUE
M,White,4/16/2018,Police Officer,1988,,,,,,,,,,18748,,,,,,,,TRUE
M,White,8/27/2018,Police Officer,1991,,,,,,,,,,11509,,,,,,,,FALSE
M,White,11/27/2018,Police Officer,1997,,,,,,,,,,11412,,,,,,,,TRUE
M,White,7/27/2018,Police Officer,1991,,,,,,,,,,19743,,,,,,,,TRUE
M,Black,2/19/2019,Police Officer,1996,,,,,,,,,,18041,,,,,,,,TRUE
F,Black,11/27/2018,Police Officer,1991,,,,,,,,,,4526,,,,,,,,TRUE
F,White,10/25/2004,Police Officer,1975,10/1/2014,94.0958,94.7965,85.2424,0,57.5207,18,1,3,14472,75372,0,21,7,0,2,5,TRUE
M,Black,1/3/2005,Police Officer,1972,,77.5209,81.0793,88.7246,0,90.6729,10,1,4,18635,87006,0,37,183,0,14,3,TRUE
M,White,9/27/2018,Police Officer,1994,,,,,,,,,,4917,,,,,,,,TRUE
M,Black,12/13/1993,Police Officer,1963,,92.87,92.1417,56.6937,0,49.1036,36,1,3,5430,93354,0,7,5,1,2,28,TRUE
F,Hispanic,12/7/1992,Police Officer,1969,,90.5086,92.8393,79.9981,79.9133,75.2071,33,0,4,18321,83706,0,38,5,1,7,11,TRUE
M,Black,2/16/2017,Police Officer,1991,,,,,,,0,0,0,17793,48078,0,0,,0,0,0,TRUE
M,White,3/16/1957,Police Officer Assigned Supervisor Latent Fingerprint Examiner,1929,4/23/1986,,,0,,,0,0,0,,,0,0,133,0,0,0,TRUE
M,White,11/26/1962,Police Officer as Detective,1935,7/14/1983,,,0,,,0,0,0,,,0,0,213,0,0,0,TRUE
M,Black,12/5/1988,Police Officer,1958,6/15/2013,74.4999,33.9282,36.4102,72.8036,0,21,6,9,,83706,4,5,19,0,0,5,TRUE
M,White,2/17/1998,Police Officer as Detective,1960,,81.3572,86.3763,83.8471,0,63.0035,18,0,3,20095,94122,0,40,212,0,4,7,TRUE
M,White,10/28/2002,Police Officer,1976,,39.4865,33.83,76.0876,86.3664,63.0035,4,2,1,4462,87006,1,17,12,0,4,1,TRUE
