60,Conduct Unbecoming (Off-Duty),1
60,False Arrest,2
60,Illegal Search,10
60,Lockup Procedures,2
60,Operation/Personnel Violations,2
60,Use Of Force,8
72,Illegal Search,1
72,Use Of Force,1
72,Verbal Abuse,1
135,False Arrest,3
135,Illegal Search,2
135,Lockup Procedures,1
135,Operation/Personnel Violations,2
135,Use Of Force,3
152,Criminal Misconduct,1
152,Domestic,1
152,Illegal Search,1
152,Lockup Procedures,1
152,Operation/Personnel Violations,13
152,Traffic,2
152,Use Of Force,9
152,Verbal Abuse,3
193,Operation/Personnel Violations,1
193,Use Of Force,1
193,Verbal Abuse,1
244,Domestic,1
244,Lockup Procedures,1
244,Operation/Personnel Violations,5
244,Traffic,1
244,Verbal Abuse,1
254,False Arrest,1
254,Illegal Search,1
254,Lockup Procedures,1
254,Operation/Personnel Violations,1
254,Use Of Force,1
262,Domestic,1
262,False Arrest,2
262,Illegal Search,1
262,Lockup Procedures,2
262,Operation/Personnel Violations,4
262,Use Of Force,11
262,Verbal Abuse,2
270,Domestic,2
270,False Arrest,1
270,Operation/Personnel Violations,9
270,Traffic,3
270,Use Of Force,14
270,Verbal Abuse,4
291,Bribery / Official Corruption,1
291,False Arrest,1
291,Illegal Search,1
291,Operation/Personnel Violations,1
291,Use Of Force,3
291,Verbal Abuse,2
348,False Arrest,1
348,Operation/Personnel Violations,2
352,Domestic,1
352,False Arrest,1
352,Illegal Search,6
352,Lockup Procedures,1
352,Operation/Personnel Violations,2
352,Traffic,2
352,Use Of Force,6
352,Verbal Abuse,1
353,False Arrest,3
353,Illegal Search,3
353,Lockup Procedures,2
353,Operation/Personnel Violations,2
353,Use Of Force,2
353,Verbal Abuse,1
385,Conduct Unbecoming (Off-Duty),3
385,Domestic,4
385,Illegal Search,2
385,Lockup Procedures,1
385,Operation/Personnel Violations,21
385,Traffic,1
385,Use Of Force,5
403,Domestic,1
403,False Arrest,2
403,Illegal Search,12
403,Operation/Personnel Violations,3
403,Supervisory Responsibilities,1
403,Use Of Force,4
403,Verbal Abuse,1
451,False Arrest,3
451,Illegal Search,4
451,Lockup Procedures,3
451,Operation/Personnel Violations,4
451,Use Of Force,2
465,Domestic,2
465,False Arrest,6
465,Illegal Search,7
465,Operation/Personnel Violations,3
465,Traffic,1
465,Use Of Force,7
465,Verbal Abuse,3
487,Domestic,1
487,False Arrest,2
487,Illegal Search,3
487,Operation/Personnel Violations,3
487,Traffic,1
487,Use Of Force,4
546,False Arrest,1
546,Lockup Procedures,2
546,Use Of Force,1
635,Criminal Misconduct,1
635,Illegal Search,1
635,Lockup Procedures,3
635,Money / Property,1
635,Operation/Personnel Violations,6
635,Use Of Force,1
643,Illegal Search,1
643,Lockup Procedures,2
643,Money / Property,1
643,Operation/Personnel Violations,1
643,Traffic,1
643,Use Of Force,1
648,False Arrest,1
648,Illegal Search,1
648,Operation/Personnel Violations,12
648,Traffic,1
648,Verbal Abuse,1
650,Conduct Unbecoming (Off-Duty),2
650,Domestic,5
650,False Arrest,2
650,Illegal Search,8
650,Lockup Procedures,3
650,Operation/Personnel Violations,21
650,Traffic,5
650,Use Of Force,32
650,Verbal Abuse,12
758,Illegal Search,2
758,Lockup Procedures,2
758,Operation/Personnel Violations,5
758,Use Of Force,3
794,Domestic,1
794,False Arrest,1
794,Illegal Search,1
794,Operation/Personnel Violations,1
794,Use Of Force,1
797,Conduct Unbecoming (Off-Duty),2
797,Illegal Search,1
797,Medical,1
797,Operation/Personnel Violations,4
797,Traffic,1
797,Use Of Force,5
797,Verbal Abuse,1
854,Bribery / Official Corruption,1
854,Conduct Unbecoming (Off-Duty),1
854,Domestic,1
854,False Arrest,5
854,Illegal Search,7
854,Lockup Procedures,5
854,Operation/Personnel Violations,2
854,Racial Profiling,1
854,Supervisory Responsibilities,1
854,Traffic,1
854,Use Of Force,4
884,Illegal Search,2
884,Money / Property,1
884,Operation/Personnel Violations,1
890,Conduct Unbecoming (Off-Duty),1
890,Criminal Misconduct,1
890,Domestic,1
890,False Arrest,1
890,Illegal Search,5
890,Lockup Procedures,1
890,Operation/Personnel Violations,13
