cohort_id,member_count,years_on_force,percent_black,percent_white,percent_male,percent_female,internal_complaints_per_person,within_community_complaints
824,7,19.4285714285714,14.2857142857143,28.5714285714286,71.4285714285714,28.5714285714286,4.28571428571429,30
508,11,25.7272727272727,0,63.6363636363636,90.9090909090909,9.09090909090909,3.54545454545455,39
1130,5,22.4,60,20,100,0,5.8,29
294,4,22,0,0,100,0,5,20
403,13,26.1538461538462,38.4615384615385,53.8461538461538,100,0,3.23076923076923,42
847,7,26.4285714285714,14.2857142857143,85.7142857142857,71.4285714285714,28.5714285714286,4.42857142857143,31
1870,2,18,100,0,0,100,1,2
2110,2,0,0,0,0,0,1,2
2197,2,32,100,0,100,0,1,2
450,5,25,40,60,80,20,2.8,14
301,12,17.1666666666667,0,75,91.6666666666667,8.33333333333333,4.16666666666667,50
423,3,20.6666666666667,0,0,100,0,6.33333333333333,19
473,9,15.6666666666667,0,22.2222222222222,66.6666666666667,0,3.77777777777778,34
536,12,14.5454545454545,0,25,83.3333333333333,8.33333333333333,3.25,39
1317,4,15,0,25,75,25,5.25,21
215,10,17.8888888888889,60,10,80,10,4.7,47
1550,3,14,0,33.3333333333333,66.6666666666667,0,5,15
243,16,13.9333333333333,0,68.75,87.5,6.25,3.125,50
603,6,12.3333333333333,0,50,66.6666666666667,33.3333333333333,5,30
455,19,25.1176470588235,10.5263157894737,73.6842105263158,89.4736842105263,0,2.52631578947368,48
920,8,14,37.5,12.5,50,12.5,4,32
842,3,29,0,100,100,0,6.33333333333333,19
1428,7,30.6666666666667,0,57.1428571428571,85.7142857142857,0,4.57142857142857,32
77,11,26.5454545454545,100,0,90.9090909090909,9.09090909090909,3.45454545454545,38
1002,9,10.6666666666667,22.2222222222222,77.7777777777778,100,0,3.77777777777778,34
114,6,23.1666666666667,0,83.3333333333333,100,0,4.33333333333333,26
1322,4,15,0,50,50,0,5.25,21
89,18,20.2941176470588,0,83.3333333333333,83.3333333333333,11.1111111111111,3.22222222222222,58
69,9,15.3333333333333,0,77.7777777777778,88.8888888888889,11.1111111111111,4.11111111111111,37
868,7,15,85.7142857142857,0,71.4285714285714,14.2857142857143,5.71428571428571,40
78,7,20.1428571428571,85.7142857142857,0,100,0,4.42857142857143,31
1151,4,31,0,100,100,0,3.25,13
280,10,24,0,50,100,0,4.2,42
571,4,16,0,75,75,0,5.5,22
17,11,26.6363636363636,36.3636363636364,54.5454545454545,90.9090909090909,9.09090909090909,3.18181818181818,35
1893,9,27.5555555555556,22.2222222222222,77.7777777777778,77.7777777777778,22.2222222222222,4.11111111111111,37
210,9,19.6666666666667,0,66.6666666666667,100,0,4.88888888888889,44
1316,8,15.2857142857143,0,75,87.5,0,2.75,22
1007,4,22.25,0,25,100,0,5.5,22
375,14,13.75,14.2857142857143,7.14285714285714,78.5714285714286,7.14285714285714,2.64285714285714,37
1001,3,29.6666666666667,0,100,100,0,5.33333333333333,16
344,15,18.2666666666667,0,93.3333333333333,80,20,3.46666666666667,52
1616,3,33,0,100,66.6666666666667,33.3333333333333,5.66666666666667,17
1138,3,26,0,0,33.3333333333333,0,3,9
1287,12,29.6363636363636,58.3333333333333,25,75,16.6666666666667,3.41666666666667,41
1011,8,26.625,0,75,87.5,12.5,3.875,31
