,officer_id,avg_coaccusals,avg_years_on_force_at_incident,avg_age_at_incident,gender,avg_complaint_percentile,avg_disciplined_count,cohort_id,avg_allegation_severity,max_allegation_severity,compound,neg,neu,pos
0,1,2.166666666666667,5.5,39.5,1,61.2357,0.0,3,4.198333333333332,9.6,,,,
1,2,4.25,4.75,29.75,0,72.0378,0.0,2,11.8675,16.59,,,,
3,5,11.0,37.5,61.5,1,74.7611,0.25,2,7.12,8.22,,,,
5,7,2.875,9.375,32.375,1,48.5079,0.0,2,9.5825,20.52,,,,
6,8,6.0,13.5,58.5,1,20.7756,0.0,3,7.95,9.6,,,,
7,9,1.3333333333333333,13.333333333333336,37.333333333333336,1,85.1604,0.3333333333333333,3,9.37,14.73,,,,
12,15,5.0,2.0,31.0,1,37.8663,0.0,3,9.6,9.6,,,,
13,16,3.631578947368421,2.1578947368421053,26.157894736842106,1,97.5202,0.05263157894736842,2,10.99388888888889,16.59,,,,
14,17,1.56,13.52,44.52,1,80.0619,0.04,2,7.2312,16.59,,,,
15,18,2.0,4.2,27.2,1,40.201,0.2,2,6.504,16.59,,,,
16,19,1.6,5.2,55.2,1,46.1367,0.0,3,3.322,6.3,,,,
17,20,2.666666666666667,24.66666666666667,45.66666666666666,1,21.5909,0.0,3,7.93,13.42,,,,
19,25,2.0,0.0,28.0,0,54.2662,0.0,3,9.6,9.6,,,,
23,34,2.6,7.133333333333334,32.13333333333333,1,73.6158,0.06666666666666667,2,9.437999999999999,17.67,,,,
25,38,2.230769230769231,3.692307692307693,30.69230769230769,1,71.0214,0.07692307692307693,3,8.023076923076923,16.59,,,,
27,41,2.6,4.4,29.4,0,52.0003,0.0,3,9.632,16.59,,,,
28,42,2.833333333333333,6.583333333333332,40.583333333333336,1,74.2425,0.0,2,8.874166666666666,16.59,,,,
29,43,1.0,23.0,50.0,1,35.8526,1.0,3,5.04,5.04,,,,
32,47,1.7142857142857144,6.428571428571429,33.42857142857143,1,49.2033,0.14285714285714285,3,6.525714285714286,14.73,,,,
34,49,3.8571428571428568,4.571428571428571,37.57142857142857,1,67.1277,0.0,2,8.93142857142857,16.59,,,,
35,50,1.0,6.0,43.0,0,23.3999,1.0,3,0.64,0.64,,,,
36,51,1.875,6.75,34.75,1,60.9568,0.0,2,8.05,16.59,,,,
37,52,6.375,6.25,33.25,1,79.4735,0.0,2,9.896875,16.59,,,,
38,53,2.0,3.0,43.0,0,0.0,0.0,3,0.77,0.77,,,,
40,56,2.8,4.3,31.3,1,90.0959,0.1,2,12.472000000000001,16.59,,,,
43,60,4.52,6.52,30.52,1,94.0316,0.0,2,10.2344,16.59,,,,
44,61,1.875,3.625,29.625,1,54.7973,0.0,2,10.14,16.59,,,,
45,62,11.666666666666666,2.0,31.0,0,54.1898,0.0,1,6.656666666666666,9.6,,,,
46,64,2.0,4.6,27.6,1,49.1231,0.0,3,9.936,16.59,,,,
52,71,1.0,6.0,45.0,0,16.2837,1.0,3,6.3,6.3,,,,
53,75,1.851851851851852,5.925925925925926,33.925925925925924,1,93.061,0.03703703703703704,2,9.031111111111112,16.59,,,,
55,77,6.2,6.4,30.4,0,38.7261,0.0,2,9.584,9.6,,,,
58,80,1.6666666666666667,3.7777777777777777,34.77777777777778,1,82.6411,0.3333333333333333,2,10.69,20.52,,,,
59,81,5.444444444444445,2.6666666666666665,26.66666666666667,1,65.8209,0.0,2,12.202222222222222,16.59,,,,
60,82,168.0,5.0,30.0,0,54.2843,0.0,3,7.66,7.66,,,,
62,87,5.25,13.75,40.75,0,24.8475,0.0,2,9.5725,16.59,,,,
63,88,4.2,21.4,45.4,1,54.3739,0.0,2,12.454,16.59,,,,
69,94,4.866666666666666,4.933333333333334,31.93333333333333,1,75.4614,0.0,2,10.5,20.52,,,,
70,95,2.083333333333333,46.91666666666666,71.91666666666667,1,0.0,0.08333333333333333,2,7.7425,16.59,,,,
72,97,1.0,32.5,59.5,1,51.347,0.5,3,6.3,6.3,,,,
75,107,3.333333333333333,1.3333333333333333,25.33333333333333,1,93.0725,0.0,3,6.643333333333333,9.6,,,,
76,108,2.0,4.0,34.0,0,45.7682,0.3333333333333333,3,6.33,9.6,,,,
77,109,2.5,7.0,39.0,1,93.0269,0.0,3,7.935,14.73,,,,
80,112,1.6666666666666667,2.0,35.0,1,54.941,0.0,3,9.11,14.73,,,,
81,113,21.0,12.1,43.1,0,49.8461,0.0,3,7.063,16.59,,,,
83,115,2.4615384615384612,4.6923076923076925,40.692307692307686,1,87.8644,0.0,2,9.077692307692308,16.59,,,,
84,116,2.75,1.75,31.75,1,69.1452,0.25,3,4.8025,11.37,,,,
86,118,2.8571428571428568,6.642857142857142,52.64285714285714,1,73.0236,0.07142857142857144,2,8.883571428571427,16.59,,,,
87,119,2.666666666666667,8.6,50.6,1,75.3146,0.0,2,8.868,17.67,,,,
93,129,7.0,6.2857142857142865,30.285714285714285,1,59.2551,0.0,1,6.808571428571429,14.73,,,,
95,132,1.5,-3.0,22.0,1,60.5021,0.0,3,7.26,8.22,,,,
98,135,3.363636363636364,8.363636363636363,39.36363636363637,1,74.6437,0.09090909090909091,2,10.282727272727271,16.59,,,,
99,137,5.0,9.5,36.5,1,31.0297,0.0,2,9.44833333333333,16.59,,,,
103,141,3.5,27.0,49.0,1,30.119,0.0,3,7.665,8.22,,,,
104,142,3.0,3.571428571428572,28.57142857142857,1,82.6411,0.0,2,9.994285714285713,14.73,,,,
106,144,2.333333333333333,7.333333333333332,31.33333333333333,0,32.1845,0.3333333333333333,3,10.363333333333332,13.42,,,,
107,145,1.5,19.5,42.5,1,45.202,0.5,3,14.37,20.52,,,,
110,148,3.75,16.5,43.5,1,27.250999999999998,0.0,3,21.4525,42.38,,,,
111,149,2.8571428571428568,3.7142857142857135,28.714285714285715,0,74.5252,0.2857142857142857,2,7.651428571428571,13.42,,,,
114,154,1.0,26.0,53.0,1,0.0,0.0,3,6.3,6.3,,,,
119,161,2.0,6.25,37.25,1,35.9711,0.0,2,15.5875,42.38,,,,
121,167,2.5,22.5,53.5,1,54.0872,0.5,3,13.615,17.67,,,,
123,169,5.6,6.8,30.8,1,46.4598,0.2,2,12.25,16.59,,,,
125,171,2.666666666666667,10.0,40.0,1,26.2772,0.0,3,4.183333333333333,5.89,,,,
126,172,2.0,4.0,43.0,1,0.0,0.0,3,0.77,0.77,,,,
128,176,2.0,1.5,26.5,1,67.059,0.0,3,0.77,0.77,,,,
130,181,2.6,6.2,37.2,1,58.9928,0.0,2,9.49,16.59,,,,
131,182,2.333333333333333,8.0,46.0,1,62.0458,0.0,2,14.097777777777775,42.38,,,,
132,183,2.631578947368421,5.105263157894737,31.105263157894736,0,85.78200000000001,0.05263157894736842,1,8.366842105263158,16.59,,,,
