officer_id,gender,race,appointed_date,rank,active,birth_year,civilian_allegation_percentile,honorable_mention_count,internal_allegation_percentile,trr_count,allegation_count,sustained_count,civilian_compliment_count,current_badge,discipline_count,major_award_count,unsustained_count
12554,M,White,1989-02-14,Sergeant of Police,No,1959,76.0564,15,83.9745,7,26,1,3,2545,1,2,11
21713,M,White,1991-12-02,Police Officer,Yes,1969,57.7487,10,0.0000,1,21,2,7,8467,2,0,12
24736,M,Black,2006-08-28,Police Officer,Yes,1980,87.0789,9,91.6384,20,13,0,1,15146,0,0,4
8355,M,White,2012-10-31,Police Officer,Yes,1986,98.5998,52,0.0000,12,15,0,1,15220,0,0,1
1772,M,White,2002-03-25,Police Officer as Detective,Yes,1976,39.9143,5,0.0000,1,3,0,4,20807,0,0,1
32328,M,White,1994-09-06,Police Officer,Unknown,1970,97.8772,95,0.0000,6,52,0,2,9207,0,0,23
31300,M,Black,1995-12-04,Police Officer,Yes,1969,69.1001,6,61.1521,1,15,0,3,11984,0,1,5
24556,M,Hispanic,1996-12-02,Police Officer as Detective,Yes,1971,88.5838,2,0.0000,0,25,2,3,20590,2,0,15
2931,M,Black,1985-07-01,Sergeant of Police,No,1958,75.4382,10,92.0591,7,23,3,2,916,3,1,9
16462,M,White,1998-09-28,Police Officer,Yes,1964,86.3763,9,61.1521,5,23,2,2,19224,2,0,6
25266,M,Black,1988-05-02,Police Officer,No,1948,43.6036,9,0.0000,0,12,2,2,,2,0,7
4302,M,Hispanic,2002-08-26,Police Officer,No,1978,89.1419,49,95.2960,9,21,2,2,12569,2,0,5
30660,F,Black,1995-06-05,Police Officer,No,1961,63.6984,14,0.0000,1,13,2,2,18729,1,0,4
18915,F,White,2005-08-29,Police Officer,Yes,1971,76.2358,50,0.0000,9,10,0,4,9591,0,0,1
6951,M,White,1992-09-28,Police Officer,Yes,1966,47.6380,3,61.1521,0,8,1,6,8113,1,0,4
6329,F,Black,2010-04-16,Police Officer,Yes,1971,71.5916,13,0.0000,1,4,0,1,10194,0,0,0
6438,F,White,1987-12-07,Police Officer as Detective,No,1950,28.0464,0,0.0000,0,9,0,1,,0,0,7
8032,M,Hispanic,2000-09-11,Police Officer,Yes,1975,60.4395,11,84.6223,3,10,2,2,16095,2,0,2
14777,F,White,2002-08-26,Police Officer,Yes,1975,33.7502,14,73.3955,0,3,1,4,17222,0,1,0
25955,M,White,1995-10-23,Police Officer Assigned Evidence Technician,Yes,1971,53.0197,16,0.0000,1,9,0,4,6464,0,0,6
32414,F,Black,2002-09-30,Police Officer,Unknown,1970,96.6564,30,73.4652,12,29,2,1,9879,2,0,4
21379,M,White,2002-09-30,Police Officer,Yes,1973,64.3462,34,73.4652,1,8,0,6,19095,0,0,1
27693,M,Hispanic,2015-02-23,Police Officer,Yes,1992,92.6301,12,0.0000,1,3,0,0,7496,0,1,0
23920,M,White,2001-10-29,Police Officer,Yes,1979,89.1270,51,85.6488,13,20,2,4,16271,2,0,6
23648,M,White,2008-04-28,Police Officer as Detective,Yes,1981,80.7405,26,0.0000,3,7,0,5,20311,0,0,1
17378,M,White,1998-10-26,Police Officer,Yes,1965,61.9992,8,0.0000,4,11,1,11,13905,1,0,6
13958,M,White,1986-10-13,Sergeant of Police,Yes,1962,61.9992,6,0.0000,0,26,1,3,1069,1,0,10
14291,M,White,1999-11-15,Police Officer,No,1976,90.8704,3,0.0000,1,11,0,0,8332,0,0,6
6478,F,White,1992-06-29,Police Officer as Detective,No,1970,70.6816,1,89.8130,0,9,1,0,,1,0,4
22866,M,Hispanic,1997-08-04,Police Officer,Yes,1960,83.7403,35,61.1521,1,18,1,6,12278,1,0,6
27205,M,White,2007-06-04,Police Officer,Yes,1983,77.1327,61,0.0000,3,7,0,2,3119,0,0,0
32317,M,Black,2000-12-18,Police Officer,Unknown,1964,56.0195,16,0.0000,2,6,0,1,6333,0,0,1
29682,M,Asian/Pacific,1998-09-28,Police Officer,Yes,1966,24.1180,46,0.0000,7,3,0,3,19891,0,0,0
28458,M,Black,1973-02-19,Sergeant of Police,No,1944,70.7005,6,0.0000,0,9,1,1,,1,0,4
18697,M,Hispanic,1994-07-05,Police Officer,Yes,1964,57.7487,3,0.0000,2,25,1,2,6630,1,0,20
17041,M,Black,1986-03-31,Police Officer,No,1959,99.7122,15,94.5979,13,93,5,5,16685,4,0,40
32176,F,White,2005-08-29,Police Officer,Unknown,1981,97.0899,78,0.0000,9,26,1,4,4915,1,0,9
6235,F,Black,2008-04-28,Police Officer,Yes,1972,70.4953,7,0.0000,5,6,1,3,7809,1,0,0
27468,M,White,2005-12-05,Police Officer,Yes,1980,46.6016,79,90.7614,8,5,1,12,15101,1,0,1
9295,M,White,1991-01-30,Sergeant of Police,Yes,1966,74.8804,22,61.1521,3,17,0,2,2012,0,1,7
31954,F,Hispanic,1994-05-02,Police Officer,Unknown,1967,41.5139,2,0.0000,0,10,1,1,4170,1,0,6
4771,M,Black,1994-07-05,Police Officer as Detective,Yes,1967,90.4873,34,61.1521,3,38,1,2,20506,1,0,15
1789,M,White,1991-05-22,Sergeant of Police,No,1964,52.5554,20,72.6452,2,10,1,2,2001,1,0,3
32011,M,Hispanic,1986-08-11,Police Officer,Unknown,1964,41.5139,13,61.1521,0,41,1,2,5847,1,2,25
25160,M,White,2002-12-02,Police Officer,Yes,1968,68.4722,51,92.3460,5,11,1,2,6144,0,0,2
28043,M,White,1992-01-02,Sergeant of Police,Yes,1966,77.6460,15,88.3297,8,35,3,4,1922,2,0,24
24475,M,White,2000-09-11,Police Officer,Yes,1974,83.3566,123,84.6223,11,17,2,2,14128,2,0,3
9577,M,Hispanic,1978-12-11,Sergeant of Police,No,1953,96.1352,25,86.0982,7,48,4,5,1670,2,1,20
9362,M,Hispanic,1985-11-18,Sergeant of Police,No,1957,56.0004,16,0.0000,5,13,0,2,992,0,0,7
22614,M,White,1986-12-22,Police Officer as Detective,No,1957,50.7699,5,71.5353,0,34,1,4,,0,0,27
27435,M,White,1995-10-23,Police Officer,Yes,1964,86.3763,85,61.1521,35,29,0,1,19430,0,0,12
1761,M,Hispanic,1995-09-05,Police Officer,No,1971,63.4760,0,0.0000,0,9,3,0,,1,0,5
3785,F,White,2005-08-29,Sergeant of Police,Yes,1982,61.0873,90,76.7989,12,6,1,1,1543,1,0,1
1149,M,White,1991-01-30,Police Officer,Yes,1961,79.7738,5,0.0000,4,37,0,1,15734,0,1,26
10046,M,White,1987-12-07,Sergeant of Police,No,1957,37.8912,6,93.9805,1,28,1,6,850,1,1,20
20908,M,White,1977-11-01,Captain of Police,No,1953,37.4617,1,0.0000,0,3,0,2,9,0,0,2
23775,M,Asian/Pacific,2004-09-27,Police Officer,Yes,1977,91.0305,88,0.0000,17,16,1,1,17832,1,1,5
12692,M,White,1987-03-09,Lieutenant of Police,No,1955,51.0239,10,0.0000,0,21,1,6,307,0,0,12
24740,M,Black,1993-05-17,Sergeant of Police,Yes,1963,61.9992,7,88.3297,0,23,3,1,2616,3,0,14
23850,M,White,1971-06-14,Sergeant of Police,No,1942,89.5308,12,91.9835,0,23,2,0,,2,1,14
1237,F,Black,2001-10-29,Sergeant of Police,Yes,1973,52.0480,3,0.0000,0,5,0,3,2328,0,0,2
29595,M,Hispanic,1994-08-01,Police Officer,Yes,1965,61.9992,24,0.0000,3,13,0,2,9693,0,0,9
11239,M,White,1991-12-16,Sergeant of Police,Yes,1966,74.8804,12,61.1521,0,29,1,7,2460,1,0,13
19829,M,White,2005-12-05,Police Officer,Yes,1979,97.1846,75,0.0000,10,23,0,6,14390,0,0,5
28144,M,Asian/Pacific,1998-07-27,Police Officer,Yes,1968,92.8393,22,0.0000,2,25,1,1,9817,1,0,12
340,M,Asian/Pacific,2006-12-18,Police Officer,Yes,1979,83.2121,32,0.0000,11,10,0,2,8030,0,0,1
24854,F,Black,1997-08-04,Police Officer,Yes,1973,24.1180,5,0.0000,1,4,1,2,12507,1,0,1
13484,M,Black,1977-01-03,Deputy Chief,No,1945,49.1864,2,80.7019,0,7,0,0,684,0,0,3
3243,M,Hispanic,1996-03-18,Police Officer / Marine Officer,Yes,1972,53.0197,6,79.9133,0,21,1,13,7000,1,0,14
27546,M,Black,1994-10-03,Police Officer,No,1963,77.6460,15,93.0935,2,25,6,4,18592,6,1,8
8432,M,White,1980-06-23,Police Officer,No,1945,88.7488,10,90.9424,0,47,2,3,,2,0,25
5664,F,Black,1999-12-13,Sergeant of Police,Yes,1976,35.6089,4,79.9133,1,5,1,2,2518,1,0,1
24594,F,Hispanic,2004-10-25,Police Officer,No,1974,62.9806,14,95.9295,0,8,3,0,,2,0,0
30109,M,Black,1994-08-01,Police Officer,No,1968,61.9992,13,88.3297,0,19,4,3,,4,0,8
16042,F,White,2004-10-25,Police Officer,No,1975,94.7965,21,0.0000,2,18,1,3,14472,0,0,5
27108,M,White,1995-01-03,Sergeant of Police,No,1963,77.6460,8,0.0000,5,22,0,2,2006,0,1,9
18599,M,White,1999-08-02,Sergeant of Police,Yes,1973,95.0419,64,0.0000,3,29,0,3,1134,0,0,11
7563,M,White,1970-06-15,Sergeant of Police,No,1946,62.3147,8,0.0000,0,11,1,5,1415,1,0,3
8009,M,White,1988-11-07,Sergeant of Police,No,1961,35.6089,5,0.0000,0,7,1,4,2677,0,0,3
21876,M,Black,1992-06-29,Sergeant of Police,Yes,1964,92.1417,16,93.0935,2,45,4,5,1313,3,0,24
12958,M,Asian/Pacific,2006-02-21,Police Officer,Yes,1982,55.9896,40,0.0000,6,4,0,6,12743,0,0,0
18950,M,White,1977-07-18,Police Officer as Detective,No,1951,53.8898,0,0.0000,0,21,1,0,,1,0,15
27964,M,White,1999-10-25,Police Officer,Yes,1975,81.8766,22,61.1521,6,16,0,2,11087,0,2,9
12501,M,Black,1990-08-27,Police Officer,No,1959,78.4204,4,94.0915,1,37,12,0,10861,12,0,17
9651,F,White,2000-08-14,Sergeant of Police,Yes,1977,38.3596,4,0.0000,2,3,0,4,2531,0,0,1
32355,M,White,2003-09-29,Police Officer,Unknown,1976,92.6699,90,0.0000,28,19,0,6,19561,0,0,4
28429,M,Black,1996-07-08,Police Officer / Marine Officer,Yes,1972,47.6380,4,0.0000,1,14,1,11,19882,1,0,7
24371,M,Hispanic,2016-06-27,Police Officer,Yes,1989,,1,,0,1,0,0,9766,0,0,0
20609,M,White,1991-02-27,Sergeant of Police,Yes,1967,35.6089,20,61.1521,7,29,1,1,1566,1,0,21
14432,F,White,1991-11-18,Police Officer,No,1954,34.4865,3,0.0000,0,6,0,0,,0,0,4
3194,M,White,1992-12-07,Police Officer,No,1961,53.0197,16,0.0000,3,12,1,3,18236,1,0,5
4816,M,White,1998-06-08,Sergeant of Police,Yes,1966,97.8772,42,61.1521,8,42,0,4,1781,0,0,22
3517,M,White,1991-12-16,Police Officer,Yes,1965,83.7403,20,0.0000,0,28,1,8,11307,0,1,15
30168,F,Black,2005-08-29,Police Officer,Yes,1980,46.0036,21,0.0000,3,3,0,3,14188,0,0,1
15697,F,Hispanic,2007-07-09,Police Officer,Yes,1980,40.5322,17,79.3652,3,4,1,2,12077,1,0,1
12042,M,Hispanic,1994-10-03,Police Officer,No,1950,62.1067,5,0.0000,0,10,0,2,,0,0,6
7216,M,White,2002-03-25,Police Officer Assigned Evidence Technician,Yes,1976,96.9753,60,0.0000,26,30,1,8,6573,1,1,11
11323,M,White,1985-07-01,Police Officer,No,1952,76.4780,9,0.0000,3,24,3,4,17480,2,1,14
6403,M,Black,1982-08-30,Explosives Tech I,No,1956,45.5257,1,0.0000,0,16,1,1,,1,0,14
18093,M,White,1995-06-05,Police Officer,Yes,1969,29.7987,24,61.1521,2,7,0,3,18417,0,1,5
26240,M,White,1995-12-04,Police Officer,Yes,1971,72.3141,13,61.1521,8,23,1,19,19812,1,0,11
424,M,Hispanic,1990-03-26,Police Officer as Detective,No,1965,41.5139,0,79.9133,0,17,1,4,,0,0,6
27889,M,White,2006-11-27,Police Officer,Yes,1982,95.7744,63,0.0000,10,18,1,2,11872,1,0,3
1248,M,White,1998-05-26,Police Officer,Yes,1972,69.1001,25,79.9133,4,12,0,6,17375,0,1,6
19457,M,Black,2003-02-24,Police Officer,Yes,1977,93.4971,29,73.9835,7,22,1,10,1191,1,0,4
32178,M,White,2002-02-25,Police Officer,Unknown,1978,97.5733,37,94.9920,32,37,3,3,8721,3,0,12
20396,F,Hispanic,2000-06-19,Sergeant of Police,Yes,1971,32.5443,12,84.3582,0,4,2,1,875,2,0,1
8640,M,White,1998-07-27,Police Officer,Yes,1972,94.6432,58,61.1521,10,33,3,6,8646,3,0,12
14546,M,White,2000-02-28,Police Officer,Yes,1977,55.0329,26,90.2731,0,9,1,0,11060,1,0,3
12506,M,White,2006-03-27,Police Officer,Yes,1977,77.4018,32,0.0000,6,8,0,2,8735,0,0,1
4376,M,White,1991-03-27,Captain of Police,Yes,1966,53.0197,15,0.0000,0,12,0,8,9,0,0,6
2003,M,Asian/Pacific,1998-10-13,Police Officer,Yes,1972,57.7487,63,61.1521,8,8,0,4,18990,0,0,1
24415,M,Hispanic,1995-08-07,Police Officer,Yes,1971,61.9992,18,61.1521,4,24,2,2,16573,2,0,14
7311,F,White,2001-05-29,Police Officer,No,1975,93.4020,49,74.7155,8,22,0,3,10034,0,0,3
10260,M,Hispanic,2004-01-26,Police Officer,Yes,1964,71.5218,28,74.9950,4,12,2,2,4653,1,0,4
30593,M,White,1994-09-06,Police Officer,Yes,1968,89.5804,99,61.1521,2,34,0,5,9306,0,0,17
60,M,Hispanic,2002-07-29,Police Officer,Yes,1978,94.9073,108,0.0000,33,25,0,6,11683,0,0,7
