officer_id,gender,race,appointed_date,rank,active,birth_year,civilian_allegation_percentile,honorable_mention_count,internal_allegation_percentile,trr_count,allegation_count,sustained_count,civilian_compliment_count,current_badge,discipline_count,major_award_count,unsustained_count
1,M,White,2005-09-26,Sergeant of Police,Yes,1971,61.2069,61,76.9384,7,6,0,4,1424,0,0,0
16,M,Asian/Pacific,2008-04-28,Police Officer,Yes,1984,97.3590,29,83.9944,24,19,1,5,14008,1,0,6
39,F,White,1986-08-11,Police Officer,No,1952,81.7842,13,0.0000,2,24,0,12,12511,0,0,17
47,M,Hispanic,2001-05-29,Police Officer,Yes,1974,45.3259,16,85.2153,2,7,1,2,14467,1,0,2
49,M,Hispanic,2005-09-26,Police Officer,Yes,1972,71.8208,88,0.0000,6,7,0,4,15760,0,1,1
51,M,Hispanic,2003-10-27,Police Officer,Yes,1975,61.6155,23,74.6960,13,8,0,8,4853,0,0,5
52,M,Hispanic,1999-03-08,Police Officer,Yes,1972,77.6460,51,61.1521,20,16,0,1,6380,0,0,4
54,M,Hispanic,1995-02-06,Police Officer,Yes,1962,57.7487,7,0.0000,2,13,2,1,19029,2,0,4
56,M,Hispanic,2009-12-16,Police Officer,Yes,1982,91.2298,42,0.0000,30,10,1,2,7792,1,0,3
60,M,Hispanic,2002-07-29,Police Officer,Yes,1978,94.9073,108,0.0000,33,25,0,6,11683,0,0,7
62,F,Hispanic,2009-12-16,Police Officer,Yes,1980,60.9577,12,0.0000,1,3,0,1,12327,0,0,1
72,M,Hispanic,2015-12-14,Police Officer,Yes,1990,,9,,0,3,0,0,16462,0,1,1
77,F,Hispanic,1998-12-14,Police Officer,Yes,1974,47.6380,25,0.0000,0,5,0,7,3081,0,0,1
81,M,White,2002-02-25,Police Officer / Marine Officer,Yes,1978,67.3610,25,72.8224,4,9,0,4,4145,0,1,2
92,M,White,1994-05-31,Police Officer as Detective,Yes,1970,77.6460,9,0.0000,2,27,1,5,20261,1,1,14
94,M,White,1998-03-16,Police Officer as Detective,Yes,1971,77.6460,55,0.0000,4,15,0,5,20828,0,0,13
114,F,Black,1990-08-27,Police Officer,No,1960,56.2074,5,71.5151,1,22,3,2,11084,3,0,12
119,M,White,1997-03-17,Police Officer,No,1955,83.5412,21,0.0000,6,15,0,3,19317,0,0,7
135,M,White,2002-09-30,Police Officer / Field Training Officer,Yes,1971,74.8605,76,73.4652,20,11,1,2,6673,1,1,1
156,M,White,1993-12-13,Police Officer,No,1970,86.3763,27,95.6348,2,32,3,7,6621,3,0,18
188,F,White,2001-07-30,Police Officer,Yes,1976,45.5103,14,0.0000,2,4,0,3,17233,0,0,1
204,M,Hispanic,1991-12-02,Police Officer Assigned Evidence Technician,Yes,1967,47.6380,24,0.0000,3,8,0,1,3176,0,0,5
216,M,White,1994-09-06,Police Officer,Yes,1957,69.1001,24,0.0000,0,20,0,6,3162,0,0,14
233,M,White,1999-03-08,Police Officer,Yes,1975,74.8804,36,0.0000,16,12,0,10,4088,0,0,6
235,M,Black,1982-11-29,Police Officer as Detective,No,1955,49.2197,0,0.0000,0,7,1,0,,0,0,3
238,M,Asian/Pacific,1991-04-24,Police Officer / Explosives Detective Canine Handler,Yes,1957,47.6380,15,0.0000,0,15,0,2,4355,0,0,8
241,M,Black,1994-05-31,Police Officer,Yes,1965,77.6460,21,93.0935,4,29,6,1,4031,6,0,14
254,M,White,2012-10-05,Police Officer,Yes,1984,86.1072,30,0.0000,10,5,0,2,9351,0,0,0
255,M,Hispanic,2008-07-28,Police Officer,No,1981,76.8365,76,0.0000,6,5,0,2,15164,0,1,1
260,M,Hispanic,2001-10-29,Police Officer,Yes,1973,83.4513,73,0.0000,3,14,0,1,13934,0,1,4
262,M,Hispanic,2003-02-24,Police Officer,Yes,1976,94.3592,87,73.9835,49,23,1,4,13577,1,3,10
291,M,Hispanic,2006-03-27,Police Officer,Yes,1978,68.4074,88,91.1401,17,9,2,4,5142,2,0,0
292,M,Hispanic,2000-10-10,Police Officer,Yes,1978,60.4893,35,0.0000,8,7,0,7,9788,0,0,3
295,M,White,2001-02-05,Lieutenant of Police,Yes,1976,74.6661,76,0.0000,9,12,1,5,262,0,0,3
326,M,Black,2006-09-25,Police Officer,Yes,1983,57.1557,84,78.6028,4,5,1,1,7727,1,0,1
345,F,White,2002-09-30,Police Officer,Yes,1977,52.9799,19,0.0000,5,6,0,3,3324,0,0,1
352,M,Asian/Pacific,2006-09-25,Police Officer,Yes,1981,96.3076,65,0.0000,14,20,1,5,7241,1,1,7
353,M,Asian/Pacific,2006-11-27,Police Officer,Yes,1983,87.4277,154,0.0000,9,14,1,2,8411,0,0,2
361,M,White,1991-06-19,Police Officer as Detective,No,1960,62.0886,6,86.3017,1,21,4,7,21211,4,0,7
364,M,White,1994-05-02,Police Officer,No,1962,95.0519,1,83.0052,0,28,3,0,,3,0,13
366,M,Black,1991-05-22,Police Officer as Detective,Yes,1967,65.6966,1,0.0000,0,21,0,3,20209,0,1,17
385,M,Black,1991-03-27,Police Officer,Yes,1964,95.4256,6,79.9133,2,38,5,2,12788,4,0,11
387,M,White,1991-12-02,Police Officer,Yes,1967,65.6966,15,0.0000,3,27,2,6,9023,2,0,16
393,M,White,1998-08-31,Sergeant of Police,Yes,1970,77.6460,41,0.0000,6,14,0,3,1450,0,0,4
394,M,White,1990-03-26,Sergeant of Police,Yes,1964,57.7487,42,0.0000,4,8,0,4,1851,0,0,1
400,M,Black,1992-01-02,Police Officer / Field Training Officer,Yes,1968,81.8766,26,0.0000,3,23,1,5,18439,1,0,12
403,M,Black,2003-10-27,Police Officer,Yes,1970,95.3957,91,74.6960,50,25,1,7,15090,0,0,2
428,M,Hispanic,2002-03-25,Police Officer,Yes,1971,57.5742,34,0.0000,2,7,0,5,5011,0,0,2
442,M,Asian/Pacific,2005-10-31,Police Officer,Yes,1980,71.9803,85,0.0000,17,7,0,2,10081,0,1,3
448,M,Hispanic,2003-04-28,Sergeant of Police,Yes,1979,97.1048,66,0.0000,12,28,0,3,1060,0,1,7
451,M,White,2006-11-27,Police Officer,Yes,1983,93.4473,184,0.0000,18,16,0,1,13832,0,0,0
464,M,White,2007-04-30,Police Officer,Yes,1982,51.3305,79,79.2007,37,7,1,1,11287,1,0,1
465,M,Hispanic,2000-02-28,Police Officer,Yes,1976,94.8575,49,0.0000,11,29,0,2,12730,0,0,7
476,M,Hispanic,2001-04-30,Sergeant of Police,Yes,1977,65.1634,40,0.0000,4,8,0,3,1722,0,0,2
478,M,Hispanic,1991-03-27,Sergeant of Police,Yes,1966,97.5782,79,61.1521,10,48,3,4,1968,2,0,15
498,M,Hispanic,1986-02-03,Police Officer,No,1959,72.3141,19,0.0000,2,31,0,15,7933,0,0,14
518,M,White,1990-08-27,Police Officer as Detective,Yes,1966,69.1001,5,0.0000,0,35,1,7,20340,1,0,28
519,M,White,1990-03-26,Police Officer as Detective,Yes,1967,61.9992,8,0.0000,1,27,0,6,20269,0,0,14
520,M,White,1999-06-21,Police Officer as Detective,Yes,1974,98.6795,40,79.9133,3,48,0,3,20511,0,0,21
533,M,White,2002-09-30,Sergeant of Police,Yes,1979,88.0357,146,86.2866,13,18,1,2,1925,1,1,3
542,M,White,2000-09-11,Police Officer,Yes,1974,81.4331,107,70.7644,11,15,0,2,10544,0,0,8
569,M,White,1990-03-26,Lieutenant of Police,Yes,1959,57.7487,3,61.1521,0,23,0,8,214,0,1,12
572,M,Black,1991-01-02,Police Officer,Yes,1964,61.9992,7,61.1521,2,20,1,1,11743,1,1,9
