officer_id,gender,race,appointed_date,rank,active,birth_year,civilian_allegation_percentile,honorable_mention_count,internal_allegation_percentile,trr_count,allegation_count,sustained_count,civilian_compliment_count,current_badge,discipline_count,major_award_count,unsustained_count
1,M,White,2005-09-26,Sergeant of Police,Yes,1971,61.2069,61,76.9384,7,6,0,4,1424,0,0,0
2,F,Hispanic,2005-09-26,Police Officer,Yes,1980,76.4252,71,0.0000,4,8,0,2,20373,0,0,2
4,M,White,1969-01-06,Police Officer as Detective,No,1942,58.8524,0,0.0000,0,7,0,1,,0,0,2
6,M,White,1994-12-05,Police Officer,No,1968,38.7292,2,89.6420,2,6,2,0,18601,0,0,2
7,M,White,1995-12-04,Police Officer,Yes,1972,41.5139,9,61.1521,5,8,0,3,19596,0,0,2
8,M,Black,1990-03-26,Police Officer,No,1945,41.1729,0,0.0000,0,2,0,0,,0,0,2
13,M,White,1982-11-29,Police Officer,No,1953,43.4193,3,0.0000,0,10,2,2,,1,0,6
14,F,White,1987-12-07,Police Officer,No,1958,28.1440,2,0.0000,0,4,0,1,,0,0,2
15,M,White,2012-11-30,Police Officer,Yes,1983,46.1830,19,0.0000,9,1,0,2,17673,0,1,1
16,M,Asian/Pacific,2008-04-28,Police Officer,Yes,1984,97.3590,29,83.9944,24,19,1,5,14008,1,0,6
17,M,Black,1989-12-26,Police Officer,No,1958,92.1417,2,61.1521,0,25,1,1,,1,0,14
18,M,Asian/Pacific,1999-10-25,Police Officer,Yes,1976,41.5139,34,61.1521,4,5,1,3,14237,1,0,0
19,M,Asian/Pacific,1999-12-13,Police Officer,No,1949,47.5135,6,73.6703,1,5,0,2,5959,0,0,3
20,M,White,1970-06-15,Sergeant of Police,No,1949,26.8216,1,0.0000,0,3,0,3,1747,0,0,1
25,F,Asian/Pacific,2014-04-28,Police Officer,Yes,1986,61.0325,3,0.0000,2,1,0,0,16579,0,0,0
29,M,Black,1986-06-16,Police Officer,No,1963,32.2952,5,69.9671,2,6,3,7,11485,3,0,2
33,M,Hispanic,1973-10-22,Police Officer as Detective,No,1946,0.0000,0,0.0000,0,15,1,0,,1,0,11
34,M,Black,1998-06-29,Police Officer,Yes,1973,72.3141,10,79.9133,8,15,1,1,12861,1,0,4
38,M,Asian/Pacific,1998-06-29,Police Officer as Detective,Yes,1971,72.3141,34,79.9133,2,13,2,1,20777,1,0,8
39,F,White,1986-08-11,Police Officer,No,1952,81.7842,13,0.0000,2,24,0,12,12511,0,0,17
41,F,White,2004-11-29,Police Officer,Yes,1979,52.3321,15,76.0763,0,5,0,4,9248,0,0,0
42,M,White,2001-04-30,Police Officer,Yes,1967,78.4732,142,0.0000,25,12,0,9,3392,0,0,5
44,M,Hispanic,1995-09-05,Police Officer as Detective,Yes,1969,53.0197,11,79.9133,8,20,0,1,20137,0,0,11
46,M,Hispanic,2016-04-25,Police Officer,Yes,1991,,2,,0,1,0,0,9974,0,0,0
47,M,Hispanic,2001-05-29,Police Officer,Yes,1974,45.3259,16,85.2153,2,7,1,2,14467,1,0,2
48,F,Hispanic,1986-12-22,Police Officer,No,1958,43.9904,9,0.0000,0,9,1,9,,1,0,3
49,M,Hispanic,2005-09-26,Police Officer,Yes,1972,71.8208,88,0.0000,6,7,0,4,15760,0,1,1
50,F,Hispanic,2000-09-11,Police Officer,Yes,1963,0.0000,5,84.6223,0,2,2,4,9476,2,0,0
51,M,Hispanic,2003-10-27,Police Officer,Yes,1975,61.6155,23,74.6960,13,8,0,8,4853,0,0,5
52,M,Hispanic,1999-03-08,Police Officer,Yes,1972,77.6460,51,61.1521,20,16,0,1,6380,0,0,4
53,F,Hispanic,2013-05-01,Police Officer,Yes,1973,0.0000,4,0.0000,0,1,0,0,10955,0,0,0
54,M,Hispanic,1995-02-06,Police Officer,Yes,1962,57.7487,7,0.0000,2,13,2,1,19029,2,0,4
56,M,Hispanic,2009-12-16,Police Officer,Yes,1982,91.2298,42,0.0000,30,10,1,2,7792,1,0,3
58,M,Hispanic,1982-07-19,Police Officer,No,1956,71.5949,12,86.1845,0,36,9,0,,9,1,20
59,M,Hispanic,1995-06-05,Police Officer,No,1963,55.4602,0,94.4414,0,14,3,0,,3,0,4
60,M,Hispanic,2002-07-29,Police Officer,Yes,1978,94.9073,108,0.0000,33,25,0,6,11683,0,0,7
61,M,Hispanic,1999-05-10,Police Officer,Yes,1973,61.9992,30,0.0000,13,8,0,3,9561,0,1,7
62,F,Hispanic,2009-12-16,Police Officer,Yes,1980,60.9577,12,0.0000,1,3,0,1,12327,0,0,1
64,M,Hispanic,2003-11-24,Police Officer,Yes,1980,56.5826,44,0.0000,8,5,0,2,18603,0,0,1
65,M,Hispanic,1997-05-05,Police Officer,Yes,1972,94.6432,70,0.0000,18,31,0,7,18154,0,0,17
