"crid","summary","home_invasions"
"1052304","Itis reported that accused is being ordered to the Random Drug Testing Unit on 04Mar12 at 0900hr in order to take a Just Cause urinalysis test. It is reported that due to the results of the two previous specimen samples, per Sgt. Skol #1378, is requesting a CL number for Just Cause for the accused to do so.","0"
"1052953","The complainant alleges on 11 February 2012 at Ave, two officers forced him to disrobe in front of two females. The complainant alleges on 11 February 2012 at Ave, two officers forced him to disrobe until he was fully disrobed and performed an intrusional body cavity search. The complainant alleges on 11 February 2012 I Ave, two officers forced him to disrobe in front of two females. The complainant alleges on 11 February 2012 at Ave, two officers forced him to disrobe until he was fully disrobed and performed an intrusional body cavity search.","0"
"1056226","The reporting party alleged that the accused officers entered and searched her room without a warrant, permission or justification. The reporting party also alleged that the accused officers arrested the victim for possession of 40 bags of heroine but the victim only had about 20 bags of cocaine.","1"
"1061394","It is reported that the accused officer has an indebtedness to the City of of Chicago.","0"
"1050767","The reporting party alleges that the accused entered and searched his residence without justification. The accused falsely arrested him for criminal trespass to land.","1"
"1053188","The reporting party alleged that the accused entered his apartment, with their weapons drawn, without his permission.","1"
"1055120","The reporting party alleged that the accused harassed him in that he came out of his assigned District and issued him two false citations, which were later non-suited at the 016th District","0"
"1033714","Complainant and Civilian 1 were involved in a physical altercation outside of Restaurant A. A woman claimed that the assailants were Chicago police officers. Officers A, B, and C responded to the scene. They did not search for witnesses, did not properly document the encounter, and did not render aid.","0"
"1061417","in that one of the students was by a vehicle.","0"
"1021926","On November 22, 2008, a complaint was registered with the Independent Police Review Authority (IPRA), regarding an incident occurring in the 6th District, on November 21, 2008. It was alleged that an off-duty Chicago Police Department (CPD) officer struck the complainant during a domestic altercation; damaged the complainants cell phone by smashing it to prevent her from calling the police; and damaged the bathroom door by punching it with his fist. Based on statements from the accused officer, reports, audio recordings, and photographs, IPRA recommended to SUSTAIN the allegations that the accused struck the complainant during a domestic altercation; and smashed the complainants cell phone to prevent her from calling the police. Further, IPRA recommended a finding of NOT SUSTAINED for the allegation that the accused damaged the bathroom door by punching it with his fist. IPRA recommended a three (3) day suspension for the accused officer.","1"
"1058673","officers entered her home without warrant or permission.","1"
"1067883","The witness alleges that she was present when an unknown white male plainclothes officer arrested the victim(Son) and planted drugs on him.","0"
"1069550","In an incident involving an on-duty CPD Officer, it was alleged that the Officer unintentionally discharged his weapon while trying to re-holster it.","0"
"1071699","The complainant alleges that she has been constantly harassed by the police in that on the above date and time, her family was harassed by the police while they entered and searched her home without a warrant permission","1"
"1006654","On 17 June 2007, a complaint was registered with the Independent Police Review Authority (IPRA, f/k/a The Office of Professional Standards) regarding incidents occurring outside of the City of Chicago limits. It was alleged that an off-duty Chicago Police Department officer on various occasions harassed a complainant via the telephone and was intoxicated. Based on the recordings of the derogatory messages left by the accused officer and admissions made by the accused officer, IPRA recommended to SUSTAIN the allegation that he harassed a complainant via the telephone. Because there was no corroborating evidence to support the allegation that the accused officer was intoxicated, IPRA recommended to NOT SUSTAIN this allegation. IPRA recommended a three (3) day suspension for the accused officer.","0"
"1051828","The reporting party alleged that the accused harassed her and family members, in that they entered and searched their apartment without justification. The accused alleged falsely arrested her brother for drugs because he refused to give them a name of a drug dealer.","1"
"1074701","The complainant alleges that several unknown officers entered and searched her residence without a warrant or permission","1"
"1053724","THE REPORTING PARTY STATES THAT SHE WAS HARASSED BY HER LANDLORD, HER LANDLORD'S DAUGHTER KICKED HER DOOR AND SHE CALLED THE POLICE. SHE ALLEGES THAT ONE OF THE ACCUSED OFFICERS THAT RESPONDED WAS RUDE AND TOLD HER TO TELL HIMIN § MINUTES WHY HE WAS THERE","0"
"1066583","The complainant alleged that the accused Department member failed to respond to her call about a burglary and property damage.","0"
"1062997","The reporting party alleges the accused officer ordered him to exit his vehicle, """"slammed"""" him against the car and twisted his arms behind his back, It is further alleged that the accused officer inventoried $2700.00 that belonged to the victim without justification.","0"
"1063628","THE REPORTING PARTY ALLEGES THAT THE ACCUSED OFFICER ENTERED AND SEARCHED HER RESIDENCE WITHOUT JUSTIFICATION. THE REPORTING PARTY ALLEGES THAT THE ACCUSED OFFICER ENTERED AND SEARCHED HER RESIDENCE WITHOUT JUSTIFICATION.","1"
"1070194","THE REPORTING PARTY STATES THAT HE WAS THE VICTIM OF A SHOOTING ON JUNE 29, 2014. HE STATES THAT THE ACCUSED OFFICER HAS A PERSONAL RELATIONSHIP WITH A FRIEND OF THE OFFENDER. HE ALLEGES THAT THE ACCUSED OFFICER INTERFERED IN THE INVESTIGATION IN THAT SHE INFORMED THE OFFENDER'S FRIEND THAT HE IS A SUSPECT, CAUSING HIM TO GO INTO HIDING. Ri","0"
"1002752","On January 16, 2007, a complaint was registered with the Independent Police Review Authority (IPRA f/k/a the Office of Professional Standards), regarding an incident that occurred on January 16, 2007 in the 4th District involving two on-duty Chicago Police Department (CPD) Officers (Officers A and B). It was alleged that Officer A physically abused Victim A; struck Victim B about the body; placed her (Officer A) hand on her (Officer A) gun and verbally threatened Victim B; left a threatening voice message on Victim Bs cellular telephone; pushed Victim C to the floor; kicked Victim C; threw flower plants and vases at Victim B; left her assigned job without authorization; and left her assigned district without authorization. It was alleged that Officer B left his assigned job without authorization and left his assigned district without authorization. Based upon statements by the accused members, one of the victims, one of the witnesses, a voice recording, 911 recordings, and reports, IPRA recommended a finding of UNFOUNDED for the allegation that Officer A physically abused Victim A. IPRA recommended a finding of NOT SUSTAINED for allegations that Officer A struck Victim B about the body; placed her (Officer A) hand on her (Officer A) gun and verbally threatened Victim B; pushed Victim C to the floor; kicked Victim C; and threw flower plants and vases at Victim B. Further, IPRA recommended to SUSTAIN the allegations that Officer A left a threatening voice message on Victim Bs cellular telephone; left her assigned job without authorization; and left her assigned district without authorization. Further, IPRA recommended to SUSTAIN allegations that Officer B left his assigned job and district without authorization. IPRA recommended a twenty (20) day suspension for Officer A and a five (5) day suspension for Officer B.","0"
"1059519","The reporting party alleged that the accused entered and searched her mother's apartment without justification The accused damaged the front door lock in order to gain entry to the second floor apartment","1"
"1073463","The reporting party alleges, that without justification, the accused officers kicked in his door, and illegally entered and searched his home with their weapons drawn","1"
"1068619","The reporting party alleged that during separate investigations within a seven-year time frame, the accused officers fabricated evidence and altered files. It is further alleged that the accused officers made it appear that the victim who was 10 inches shorter and 100 pounds lighter than the other involved party (GEE was the aggressor during a physical altercation. The reporting party alleged that during separate investigations within a seven- years time frame, the accused officers fabricated evidence and altered files. It is further alleged that the accused officers made it appear that the victim: _. who was 10 inches shorter and 100 pounds lighter than the other involved party _-Nas the aggressor during a physical altercation. The reporting party alleged that during separate investigations within a seven-year time frame, the accused officers fabricated evidence and altered files. It is further alleged that the accused officers made it appear that the victim who was 10 inches shorter and 100 pounds lighter than the other involved party { vas the aggressor during a physical altercation. The reporting party alleged that during separate investigations within a seven-year time frame, the accused officers fabricated evidence and altered files. It is further alleged that the accused officers made it appear that the victim ( who was 10 inches shorter and 100 pounds lighter than the other involved party _ was the aggressor during a physical altercation. The reporting party alleged that during separate investigations within a seven-year time frame, the accused officers fabricated evidence and altered files. It is further alleged that the accused officers made it appear that the victim who was 10 inches shorter and 100 pounds lighter than the other involved party ._, was the aggressor during a physical altercation.   Page 1 of 3 CPD 0218247","0"
"1063460","Itis alleged by Sgt. Joseph Dickman #1805 that the accused, P.O. Kurrin Beamon #13629, received a written order -- Notice of Indebtedness form, referencing E01-07 on 02-JUN-2013 and failed to come into compliance within 30 days of being notified of her indebtedness to the City of Chicago.","0"
"1060599","ITIS REPORTED THAT THE ACCUSED OFFICER FAILED TO FOLLOW A DIRECT ORDER.","0"
"1061935","The complainant states that unknown Department members arrived at her home to arrest her daughter based upon a signed complaint from the neighbors. The complainant states she called 911 to request a supervisor on the scene. The complainant alleges that the accused officer that arrived refused to provide her witha battery report and asked her, """"What do you want me to do?"""" The complainant state~ “he -alled 114 because her daughter vas involved in an physical altercation with neighbors. The complainant alleges that the accused officers that arrived failed to arrest the offenders that remained on the scene.","1"
"1055826","The complainant alleges that the accused officers searched her residence without justification looking for a gun. The complainant alleges that the accused officers ransacked and damaged items throughout her residence. The complainant states she videotaped the incident.","1"
"1075826","Reporting Party alleges unidentified officers searched her apartment without a warrant or permission, damaging her personal property.","1"
"1050623","It is reported that this is an ongoing problem in which the Reporting Sergeant has approached said problem, with numerous and various methods of counseling and discipline with negative results. The accused officer was insubordinate and disrespectful towards the reporting party. It is reported that the accused officer disobeyed a direct order and impeded the Departments efforts to achieve its policy and goals. It is reported that the accused officer failed to wear her uniform and publicly criticized the actions of another Department Member.","0"
"1051477","The reporting party alleged that the accused responded to her call to the police after the reporting party's sister sprayed her with “mace"""" and attempted to Taser her. The reporting party alleged that the accused officers failed to provide police service in that they did not arrest an offender still on the scene.","0"
"1059645","The complainant who did not witness the incident alleges that the accused officers searched her residence without a warrant or permission.","1"
"1059811","officers entered her home without warrant or permission.","1"
"1060257","The complainant alleges that the accused officer failed to return or inventory his personal property and $1,200-. The complainant alleges that the accused officer failed to return or inventory his personal property and $1 ,200-.","0"
"1057378","[tis alleged by the complainant that on 27 Sep 2012 at 1157hrs, the accused P.C #11067 Employee MM, reported to the Random Drug Testing Unit to submit to random drug and urine testing. A urine specimen was collected and the accused was administered a Breath Analysis test. At that time it was observed that the accused had tested positive for breath alcohol which was above the threshold established by the Department. The accused was administered a Breath Analysis at 1157hrs which resulted in a reading of .129 BAC","0"
"1064243","The reporting party alleges that he drove to the 016th District police station to file a complaint on what had transpired, a male black officer failed to stop a drunk driver from getting back onto the road. The reporting party alleges that a white male uniformed supervisor failed to assist him. The reporting party alleges that the supervisor was rude and unprofessional and stated in an abrupt manner, """"I will take care of it, just leave.” The reporting party alleges that he observed a car driving erratically in traffic and he flagged down a marked vehicle. The reporting party alleges that he pointed out the vehicle and informed the black male uniformed officer that vehicle was weaving in and out of traffic and that he driver could have caused an accident. The reporting party alleges that the officer drove away north bound on","0"
"1049027","The reporting party alleges that the accused and his partner a ma’ Hispanic uniformed officer, possibly, one possibly named """"Floresé issued him several false traffic citations. The reporting party further that the Hispanic unformed officer, possibly named """"Flores"""" instructed the accused to write the tickets and that he stated to him, """"I don't like Arabian People."""" The reporting party alleges that officer, possibly named """"Flores” asked for his cell number and stated """"How long will take you to get me a gun, if you don't | will lock you up."""" The reporting party alleges that the officer, possibly named Flores texted him a message frorr stating, """"Where's my gift?","0"
"1055056","The reporting party alleged that accused entered and searched her residence without justification. One of the officers stated, “Bitch call the police” and refused to give their names and star numbers upon request. The reporting party stated that her husband, was arrested for Unlawiul Use of Weapon","1"
"1009478","On September 21, 2007, a complaint was registered with the Independent Police Review Authority (IPRA), regarding an incident occurring in the 2nd District on September 21, 2007, involving two Chicago Police Department (CPD) officers (Officers A and B), and two high school students (Victims 1 and 2). It was alleged that Officer A, who was on duty, slapped Victim 1 on the face; grabbed Victim 1 by the neck; failed to complete a Tactical Response Report (TRR) for Victim 1; directed profanities during the incident; and grabbed Victim 2 by the neck and choked him. It was further alleged that Officer B, who was off duty and working as a security supervisor at the school, grabbed Victim 2s arm; and threatened to break Victim 2s arm. Based on statements from the accused officers, reports, photographs, and witnesses, IPRA recommended to SUSTAIN the allegations that Officer A slapped Victim 1 on the face; grabbed Victim 1 by the neck; failed to complete a TRR for Victim 1; used profanities during the incident; and grabbed Victim 2 by the neck and choked him. Further, IPRA recommended a finding of EXONERATED for the allegation that Officer B grabbed Victim 2s arm. Further, IPRA recommended a finding of NOT SUSTAINED for the allegation that Officer B threatened to break Victim 2s arm. IPRA recommended a five (5) day suspension for Officer A.","0"
"1048888","In an incident involving three on-duty CPD Officers (Officer A, B, and C), an Unknown on-duty CPD officer, a Complainant/Victim (Complainant/Victim 1), and another Victim (Victim 2); it was alleged that, while conducting a traffic stop, Officer A threatened, pushed, and stripped searched Victim 2 in public without proper authorization and improperly used Complainant/Victim 1s vehicle. It is also alleged that Officers B and C stripped searched Victim 2 in public without proper authorization and improperly used Complainant/Victim 1s vehicle. It is further alleged that an Unknown Officer stripped searched the Complainant/Victim 1 without proper authorization or justification.","0"
"1054610","Itis alleged by the complainant attorney| MMMl -t o~ 31 July 2010, at N - =ccuscd department members entered o residence of his client ISR ot 2 vad search warrant. Itis alleged by the complainant attorney that on 31 July 2010, at _ theaccised denartment members entered the residence of his client vithout a valid search warrant Itis alleged by the complainant attorney Sthaton31 July 2010, at the acousea aepartment members entered the residence of his client without a valid search warrant Itis alleged by the complainant attorney Sthaton31 July 2010, 2t EEEESEGGGNG e accused department members entered the residence of his client without a valid search warrant.","1"
"1068542","ictim related that the ‘and the subject, reatened to kick each other's . The reporting party/victim alleged that the accused officers arrested without justification and misused their authority by failing to arrest ecause her daughter's husband is an officer assigned to the 7th District. The reporting party/victim further alleged that the white male accused officer was """"rude"""" because he would not tell her what charged with and would not talk porting party/victim. The victim","0"
"1054063","The complainant alleges that the accused officers searched her residence without justification","1"
"1057153","The complainant alleges that the accused officers searched his residence without a search warrant and ransacked and damaged items throughout his residence.","1"
"1058174","The reporting party victim alleged that on 03 November 2012 at approximately 1530 hours at the location several unknown uniformed and plain clothed officers searched her residence without justification","1"
"1053150","The complainant alleged that six uniformed officers entered and searched her house without justification and/or a warrant.","1"
"1052171","The reporting party alleged that the accused failed to conduct a thorough investigation regarding her son being shot in front of a survellance camera. The accused refused to get the tapes and failed to return her telephone calls. CASE REPORT: Aggravated Battery RD HV","0"
"1067709","THE REPORTING PARTY ALLEGES THAT THE ACCUSED OFFICER ENTERED AND SEARCHED HER RESIDENCE WITHOUT JUSTIFICATION. THE REPORTING PARTY ALLEGES THAT THE ACCUSED OFFICERS ENTERED AND SEARCHED HER RESIDENCE WITHOUT JUSTIFICATION.","1"
"1052159","The complainant states that while she was inside the restaurant, an unknown male subject said, """"Fuck the police!"""" as a marked vehicle drove by. The complainant states that the unknown department member did a u-turn and came inside. The complainant alleges that the accused officer pushed her stroller over causing her baby to almost fall out. The complainant alleges that if she did not catch her baby, he/she would have fallen out of the stroller. The complainant asked the accused officer if she could leave and he replied, """"Shut the fuck up.” When the complainant requested his badge number, the accused officer replied, “Fuck you,” and put his badge in his car.","0"
"1057161","The complainant alleged that the accused officer entered and searched the victims’ home without a warrant or permission.","1"
"1055051","It is alleged that the accused officer entered the Complainant's apartment without a warrant It is alleged that the accused officer entered the Complainant's apartment without a warrant.","1"
"1060064","named or inventory","0"
"1086932","Complainant, Mr. _(herein referred to as _was interviewed by the Independent Police Review Authority (IPRA) on October 6, 2017. _eXpressed that two officers, Officer _and Officer _entered his home without cause. - stated that he was not home during the time of this incident; however, his housemates3 were present. According to _his house is under foreclosure and his neighbors have called the police in the past to complain about their occupancy. On September 26, 2017, the officers opened the storm door and entered the home without permission. On September 26, 2017 at approximately 11:39 pm Officers _and _were dispatched to _for a noise complaint. When they arrived, the officers knocked and observed a group of individuals playing video games and listening to loud music. Officer - and Officer _asked the individuals to turn down the music and the individuals complied. The individuals were able to provide identification and proof that they resided in the home. The officers reported no observations of any illegal activities in the home. Of?cer _observed ?an empty house with a TV and couch.? Officer _and Officer _did not issue any citations and closed the event reporting no issues. Officer _and Officer _denied searching the home. Officers stated during interviews with COPA, if they entered in the home, it was only a couple steps into the to check identification of the individuals.","1"
"1057439","The complainant, called the police while at the nursing home where she was speaking with a resident whom she believed to have robbed her children at gunpoint earlier in the day. It is alleged that when the officers arrived they were rude and unprofessional in that they did not listen to her and told her there was nothing they could do because her children were not with her to file a report. It is alleged that the Sergeant told her that she needed to leave the premises and threatened to lock her up if she did not leave. The Sergeant also used profanities and stated, """"l don't give a fuck.” Itis also alleged that the Sergeant told her he would meet her at her residence, but did not show up.","0"
"1056883","——_ Tha pamntane + alleges on 06 SEP 2012 at eer ~~ 2 approximately 1800-1830 hours several unidentified police officers damaged her apartment. The complainant lleges on 06 SEP 2012 at and at approximately 1800-1830 hours several unidentified police officers searched her apartment without justification or warrant. The complainant] alleges on 06 SEP 2012 at _ —:; 1800-1830 hours several unidentified police officers damaged her apartment The complainant] alleges on 06 SEP 2012 at —— 1800-1830 hours several unidentified police officers searched her apartment without justification or warrant. The complainant alleges on 06 SEP 2012 at and at approximately 1800-1830 hours several unidentified police officers damaged her apartment The complainant alleges on 06 SEP 2012 at wal floor and at approximately 1800-1830 hours several unidentified police officers searched her apartment without justification or warrant. The complainant alleges on 08 SEP 2012 at, - and at approximately 1800-1830 hours several unidentified police officers damaged her apartment The complainant leges on 06 SEP 2012 at 6201 S. Whipple, 2nd floor ana at approximately 1800-1830 hours several unidentified police officers searched her apartment without justification or warrant. The complainant alleges on 06 SEP 2012 at 6201 S. Whipple, 2nd fl00. wins us ayyrvan ately 1800-1830 hours several unidentified police officers damaged her apartment The complainant ~~ lleges on 06 SEP 2012 at Whipple, 2nd floor ana at approximately 1800-1830 hours several unidentified police officers searched her apartment without justification or warrant. The complainant] jalleges on 06 SEP 2012 at _ ee 41800-1830 hours several unidentified police officers damaged her apartment The complainant alleges on 06 SEP 2012 at ‘and at approximately 1800-1830 hours seve,a: unidentified police officers searched her apartment without justification or warrant, The complainant Kimberly BURNS alleges on 06 SEP 2012 at and at approximately 1800-1830 hours several unidentified police officers damaged her apartment The complainant alleges on 06 SEP 2012 aff ind at approximately 1800-1830 hours several unidentified police officers searched her apartment without justification or warrant.","1"
"1060850","identification card.","0"
"1069157","The reporting party alleged that the accused officers entered and searched his residence without justification. It is alleged that the accused officers threw a large sum of money at him and then made false accusations that he was selling drugs in his front yard.","1"
"1056863","The complainant states she called 911 because her boyfriend struck her. The complainant states that when the accused officers arrived she was unable to let them in, so she threw the keys down to the Department members to allow them access to the building. The complainant alleges that one of the male officers said, """"I'm not a fucking animal, I'm not picking them up and you should have been down here."""" The complainant alleges that when she got downstairs she requested assistance from the other Department members and she alleges that the accused officer, that made the comments, said, """"Let's Go"""" to the other Department members and they walked away. The complainant alleges that she called 911 back and the Sergeant refused to respond to her call","0"
"1069141","justification.","0"
"1061799","The reporting party/victim alleged that the accused officer kicked his fence and front door, thereby violating an order of protection [#13-OP72329]. PF: ~~","1"
"1053115","The reporting party alleges that she has received several harassing e-mails and anonymous on line postings on various topics. The reporting party alleges that she has replied back to the sender and asked not to send the unwanted e-mails. The reporting party alleges that the sender informed her that they had not sent the e-mails. The reporting party alleges that after she had that brief communication about the unwanted e-mail on line postings, the e- mails continued and she began to get e- mails at work and home from previous co- workers she had worked with in the court section and she was informed by them that they never sent her the e-mails and they have received the same on line postings. The reporting party believes that the e- mails are from a department member and that it may be related to her previous assignment in the Court Section.","0"
"1063576","Itis alleged by Sgt. John Stahl,#2190 that the accused Officer Karyn GROSS, # 5009 received a written order - Notice of Indebtedness form, referencing E01-07 on 20 May 2013 and failed to come into compliance within 30 days of being notified of her indebtedness to the City of Chicago.","0"
"1053345","The reporting party alleged that the accused failed to inventory or return his jacket.","0"
"1065547","The reporting party alleged that the accused officer failed to inventory or return $22,000 USC that was in the trunk of her vehicle before the vehicle was impounded.","0"
"1089230","On April 24, 2018, ?and ?and ?were arrested for disorderly conduct. POs ?and ?arrested the four individuals because they caused a traffic jam on Archer Avenue by allegedly standing in the middle of the street and yelling obscenities. This followed an altercation that broke out during school, which continued after school and onto Archer Avenue. Sergeant ?who was off?duty and shopping in a nearby store, stood guard near POs -and ?and shouted obscenities at the arrestees.","0"
"1052965","THE REPORTING PARTY ALLEGES THAT THE ACCUSED OFFICERS ENTERED AND SEARCHED HER RESIDENCE WITHOUT JUSTIFICATION. SHE ALSO ALLEGES THAT THE ACCUSED QOFFICERS IMPOUNDED HER VEHICLE WITHOUT JUSTIFICATION. THE REPORTING PARTY ALLEGES THAT THE ACCUSED OFFICER BROKE HER DOOR, ENTERED AND SEARCHED HER RESIDENCE WITHOUT JUSTIFICATION SHE ALSO ALLEGES THAT THE ACCUSED OFFICER IMPOUNDED HER VEHICLE WITHOUT JUSTIFICATION","1"
"1057940","The complainant who did not witness the incident alleges that the accused officers kicked in her front door and a bedroom door causing damage to it. The complainant alleges that the accused officers searched the residence without a warrant or permission.","1"
"1064754","The complainant alleged that several unknown male, uniformed and casually dressed officers entered her apartment without permission or a search warrant and searched and ransacked it.","1"
"1055517","The complainant alleged that the accused officers came in through her window without a warrant or permission and arrested her brother,","1"
"1065246","The complainant alleges that the accused officer removed $2200.00 U.S.C. (14-$100 bills and the remaining $800 in numerous different denominations) that was in a bank envelope inside of his truck which was. not inventoried or returned","0"
"1054809","The reporting party alleged that the accused officer, her brother, attempted to fight her husband, the victim, during a landlord- tenant dispute.","0"
"1062430","Itis alleged by the complainant Sgt. Centeria MOORE-POWELL #2583 that the accused, P.O. Robert HOFER #3860 of Unit 016 was direspectful towards her in that he used abusive language by stating to the complainant during his appearance in Court Branch 50, 5555 W. Grand, “If you want to write me up Go ahead, this is fucking bullshit"""" Itis alleged by the complainant Sgt. Centeria MOORE-POWELL #2583 that the accused, P.O. Robert HOFER #3860 of Unit 016 was inattentive to duty in that he failed to appear in court in uniform as required by Chicago Police Department Uniform and Property ordea—","0"
"1051031","The complainant alleges that after he was struck with an """"aluminum bat"""" and fell in the street, the accused officer arrived on the scene, and yelled at him without justification. The complainant alleges that the accused officer grabbed his arm and Tasered him without justification.","0"
"1061315","indebtness to the City of Chicago.","0"
"1056808","The reporting party alleged that the accused entered his apartment and removed his radio. The accused issued him a false citation for creating a disturbance.","1"
"1061620","The reporting party alleges that he is a former friend of the accused and is currently his neighbor. The reporting party alleges that on several occasions and on various dates and times observed the accused abusing pills, K2 (phony weed), and alcohol. The reporting party alleges that the accused on the date and time in question was standing across the street from his place of residence laughing and flashing his middle finger several at him several times. The reporting party alleges that he broke off his friendship with the accused due to his bad habits and the accused began to harass him and his family members. The reporting party alleges that on one occasion, the accused was observed near his The reporting party further alleges that the aceused nurnagely cut Hise . off in traffic and slammed on his brakes (please note log #1061503). The reporting party states that he recently obtained a no stalking and on April 16, 2013.","0"
"1062250","moved her to the side, entered and searched her residence. Afterwards, the accused officers gave a copy of the search warrant to her sister,","1"
"1063097","THE REPORTING PARTY STATES THAT HE WAS INVOLVED IN A DISPUTE WITH HIS SISTER(WITNESS) AND SHE CALLED THE POLICE. THE REPORTING PARTY ALLEGES THAT THE ACCUSED OFFICERS SEARCHED HIM AND HANDCUFFED HIM WITHOUT JUSTIFICATION AND REFUSED TO PROVIDE THEIR NAMES AND STAR NUMBERS UPON HIS REQUEST.","0"
"1058675","The complainant alleged that the accused officers entered the victim's residence and searched the entire residence without a warrant or permission. The complainant alleged that the accused officers arrested the victim on a warrant and violation of parole.","1"
"1059092","A subject stole the complainant's |-Phone while she was on redline train. The complainant alleges that the accused officer was the original officer that she flagged down but the officer refused to exit her vehicle or provide her with any assistance. A subject stole the complainant's |-Phone while she was on redline train. The complainant alleges that the accused officer was the original officer that she flagged down and but he refused to provide her with any assistance. The complainant alleges that the accused officer failed to properly investigate the phone's gps location. The complainant alleges that the accused officer told her, “We don't have time for this shit tight here,” and, """"You didn't get your phone back but you didn't die,"""" and, “You still have your life.","0"
