"cr_id","summary"
"1016398","On May 9, 2008, a complaint was registered with the Independent Police Review Authority (IPRA), regarding an incident occurring in the 2nd District, on May 9, 2008 involving a involving an on-duty Chicago Police Department (CPD) officer and sergeant (Officer A and Sergeant B). It was alleged that an on-duty Chicago Police Department officer pushed complainant against the fence; verbally abused him with profanities; and forcefully entered his property without consent. It was also alleged that an on-duty Chicago Police Department sergeant failed to initiate a complaint register investigation after being made aware of allegations against a department member. Based on statements from the accused officer, complainant and witnesses, and on reports, IPRA recommend a finding of NOT SUSTAINED for the allegations that the accused officer pushed complainant against the fence and forcefully entered his property without consent. Further, IPRA recommended to SUSTAIN the allegation that Officer A verbally abused him with profanities. Based on statements from the accused members and witnesses, and an audio recording and reports, IPRA recommended to SUSTAIN the allegation that Sergeant B failed to initiate a complaint register investigation after being made aware of allegations against a department member. IPRA recommended a two (2) day suspension for Officer A and a one (1) day suspension for Sergeant B."
"1050683","It is reported that there is property under inventory # - PS2 Game Station in the vault that has a status of destruction and has not been destroyed."
"1050914","The complianant alleges that the accused officers arrested her son's and his five friends without justification. The complainant alleges that the accused officers failed to provide her with information concerning her juevnile son’s """"Joshua Cavin"""" arrest."
"1052558","violated stay away order in that he followed the complainantto the school that they children attend, and then laughed at the vicitm as she walked them into the school"
"1053981","The RPV alleged that the accused stopped, searched and issued him a citation. The RPV alleged that after being released, he realized that his $400 USC was missing from his wallet. The RPV alleged that the accused stopped, searched and issued him a citation. The RPV alleged that after being released, he realized that his $400 USC was missing from his wallet."
"1054862","The complainant states that he was involved in a traffic accident and he alleges that the accused officer that responded was rude and obnoxious. The complainant alleges that the accused officer issued him a citation without justification, threatened to arrest him, and did not offer to call for medical assistance for either him or the other unknown black male motorists. Case Report: R and Citation Number#"
"1056033","‘The reporting party alleged that the accused officer is working at the Admiral Theatre while on 1OD. The reporting party alleged that the accused officer registered his own vehicle to a suburban address to avoid buying a city sticker. The reporting party alleged that the accused officer works at the Admiral Theatre and is aware that Officer Covello works there while on lOD."
"1056465","The reporting party alleges that she was battered by her family members. The reporting party alleges that when the police arrived, the officers took their side of the story and had her arrested. The reporting party alleges that an unknown officer provided a family member with the keys to her home and when she returned from being locked up, she found her home had been burglarized by her family"
"1056598","The reporting party alleged that the accused exited therr vehicle, with their weapons drawn (not pointed), at which time the female officer stated """"Don't move before | shoot you motherfuckers """" The accused failed to dentify themselves as police officers, searched her family members cars without justification and falsely arrested her brother, , for unlawful use of weapon"
"1057205","On September 20th, 2012, a complaint was registered with the Independent Police Review Authority (IPRA) regarding an incident involving an on-duty Chicago Police Officer that occurred on September 20th, 2012 in the 14th District. It was alleged that the Officer contaminated a crime scene by failing to protect and preserve the crime scene; used profanities on more than one occasion towards an Evidence Technician; and used sexually-biased language in referencing an Evidence Technician. Based on statements from the accused Officer, the Evidence Technician, witnesses and Department reports, IPRA recommended to SUSTAIN the allegations that the Officer contaminated a crime scene by failing to protect and preserve the crime scene; used profanities on more than one occasion towards an Evidence Technician; and used sexually-biased language in referencing an Evidence Technician. IPRA recommended a fifty-five (55) day suspension for the accused Officer."
